time (YYYY-MM-DD-HH); significant wave height (m); zero-up-crossing period (s)
2006-01-01-00; 0.2261; 3.0167
2006-01-01-01; 0.1810; 3.6283
2006-01-01-02; 0.1977; 2.8982
2006-01-01-03; 0.2040; 2.8891
2006-01-01-04; 0.3280; 2.7096
2006-01-01-05; 0.3609; 2.7413
2006-01-01-06; 0.3876; 2.6939
2006-01-01-07; 0.4393; 2.7853
2006-01-01-08; 0.3882; 2.7709
2006-01-01-09; 0.3426; 2.7309
2006-01-01-10; 0.3024; 2.7587
2006-01-01-11; 0.2620; 2.8216
2006-01-01-12; 0.2876; 3.0040
2006-01-01-13; 0.2685; 3.1313
2006-01-01-14; 0.2322; 3.1834
2006-01-01-15; 0.2287; 3.4408
2006-01-01-16; 0.2334; 3.8136
2006-01-01-17; 0.2482; 4.5285
2006-01-01-18; 0.2153; 4.0635
2006-01-01-19; 0.2141; 3.8260
2006-01-01-20; 0.2219; 4.5003
2006-01-01-21; 0.2273; 4.3384
2006-01-01-22; 0.2368; 4.4718
2006-01-01-23; 0.2078; 5.1138
2006-01-02-00; 0.2010; 5.3043
2006-01-02-01; 0.2082; 4.8596
2006-01-02-02; 0.2589; 3.3607
2006-01-02-03; 0.2942; 3.2530
2006-01-02-04; 0.3041; 3.1768
2006-01-02-05; 0.2877; 3.0190
2006-01-02-06; 0.3273; 3.1122
2006-01-02-07; 0.4022; 3.2065
2006-01-02-08; 0.5141; 3.3592
2006-01-02-09; 0.5379; 3.3479
2006-01-02-10; 0.5800; 3.3834
2006-01-02-11; 0.6044; 3.4245
2006-01-02-12; 0.5506; 3.4252
2006-01-02-13; 0.5080; 3.4597
2006-01-02-14; 0.5078; 3.4238
2006-01-02-15; 0.4940; 3.3088
2006-01-02-16; 0.5388; 3.2077
2006-01-02-17; 0.5874; 3.1555
2006-01-02-18; 0.6706; 3.2189
2006-01-02-19; 0.7544; 3.3463
2006-01-02-20; 0.8931; 3.5420
2006-01-02-21; 0.9128; 3.7164
2006-01-02-22; 0.9158; 3.6620
2006-01-02-23; 0.9889; 3.7360
2006-01-03-00; 0.9000; 3.6642
2006-01-03-01; 0.8880; 3.6609
2006-01-03-02; 0.9530; 3.6681
2006-01-03-03; 0.9963; 3.8212
2006-01-03-04; 0.9502; 3.8392
2006-01-03-05; 0.9475; 3.8510
2006-01-03-06; 0.9387; 3.8091
2006-01-03-07; 0.9147; 3.5833
2006-01-03-08; 0.9323; 3.4935
2006-01-03-09; 0.9585; 3.4756
2006-01-03-10; 1.0625; 3.4735
2006-01-03-11; 1.2195; 3.5750
2006-01-03-12; 1.2314; 3.6970
2006-01-03-13; 1.2575; 3.7394
2006-01-03-14; 1.2496; 3.6784
2006-01-03-15; 1.1118; 3.6907
2006-01-03-16; 1.1710; 3.7622
2006-01-03-17; 1.0642; 3.8416
2006-01-03-18; 1.0176; 3.7952
