time (YYYY-MM-DD-HH); significant wave height (m); zero-up-crossing period (s)
2006-01-01-00; 0.8489; 3.9658
2006-01-01-01; 0.7973; 3.9215
2006-01-01-02; 0.8480; 4.0261
2006-01-01-03; 0.8223; 4.1579
2006-01-01-04; 0.7938; 3.9434
2006-01-01-05; 0.8162; 3.9107
2006-01-01-06; 0.7973; 3.8033
2006-01-01-07; 0.8419; 3.7934
2006-01-01-08; 0.8353; 3.6624
2006-01-01-09; 0.8795; 3.7408
2006-01-01-10; 0.9307; 3.7993
2006-01-01-11; 0.8788; 3.7889
2006-01-01-12; 0.9877; 3.8057
2006-01-01-13; 1.0110; 3.8618
2006-01-01-14; 1.1374; 3.9274
2006-01-01-15; 1.1751; 3.9660
2006-01-01-16; 1.3488; 4.2682
2006-01-01-17; 1.4661; 4.1687
2006-01-01-18; 1.4842; 4.1636
2006-01-01-19; 1.5484; 4.3393
2006-01-01-20; 1.5141; 4.2839
2006-01-01-21; 1.4872; 4.3436
2006-01-01-22; 1.4667; 4.3027
2006-01-01-23; 1.3831; 4.2617
2006-01-02-00; 1.3678; 4.3103
2006-01-02-01; 1.2948; 4.1336
2006-01-02-02; 1.3734; 4.1338
2006-01-02-03; 1.3944; 4.1404
2006-01-02-04; 1.4702; 4.2779
2006-01-02-05; 1.4613; 4.2688
2006-01-02-06; 1.5125; 4.3829
2006-01-02-07; 1.6591; 4.4523
2006-01-02-08; 1.7429; 4.5507
2006-01-02-09; 1.8400; 4.8350
2006-01-02-10; 2.0557; 4.9214
2006-01-02-11; 2.0300; 4.9621
2006-01-02-12; 2.1226; 4.9830
2006-01-02-13; 2.0891; 5.2711
2006-01-02-14; 2.1752; 5.2569
2006-01-02-15; 1.9704; 4.9790
2006-01-02-16; 1.9000; 5.0974
2006-01-02-17; 1.9876; 4.9780
2006-01-02-18; 1.8177; 4.9657
2006-01-02-19; 1.7293; 4.9984
2006-01-02-20; 1.7546; 5.1356
2006-01-02-21; 1.5855; 4.8485
2006-01-02-22; 1.5850; 4.9479
2006-01-02-23; 1.4521; 4.9016
2006-01-03-00; 1.4568; 5.0150
2006-01-03-01; 1.3618; 4.9961
2006-01-03-02; 1.1233; 4.7496
