time (YYYY-MM-DD-HH); significant wave height (m); zero-up-crossing period (s)
1996-02-08-11; 1.0157; 4.5975
1996-02-08-12; 1.0325; 4.8732
1996-02-08-13; 1.1208; 4.9601
1996-02-08-14; 1.0472; 4.8161
1996-02-08-15; 1.0650; 5.1409
1996-02-08-16; 1.2032; 5.4831
1996-02-08-17; 1.1793; 5.2281
1996-02-08-18; 1.2161; 5.2825
1996-02-08-19; 1.2576; 5.2364
1996-02-08-20; 1.2509; 5.0677
1996-02-08-21; 1.3622; 5.3624
1996-02-08-22; 1.1982; 5.0794
1996-02-08-23; 1.2390; 5.0995
1996-02-09-00; 1.3168; 5.1984
1996-02-09-01; 1.2032; 4.8774
1996-02-09-02; 1.1549; 4.9163
1996-02-09-03; 1.1615; 4.9814
1996-02-09-04; 1.1147; 4.8592
1996-02-09-05; 1.1075; 4.8972
1996-02-09-06; 1.0006; 4.9972
1996-02-09-07; 0.9339; 4.9070
1996-02-09-08; 0.8868; 4.8943
1996-02-09-09; 0.8531; 4.8730
1996-02-09-10; 0.7973; 4.9639
1996-02-09-11; 0.8063; 5.0927
1996-02-09-12; 0.7539; 5.1123
1996-02-09-13; 0.7759; 5.3942
1996-02-09-15; 0.7257; 5.4281
1996-02-09-16; 0.6682; 5.2196
1996-02-09-18; 0.6274; 5.2394
1996-02-09-19; 0.5973; 5.1192
1996-02-09-20; 0.6475; 5.3279
1996-04-10-19; 0.7790; 3.7168
1996-04-11-00; 0.8028; 3.9624
1996-04-11-01; 0.8356; 4.0943
1996-04-11-02; 0.8657; 4.0396
1996-04-11-03; 0.8722; 3.8929
1996-04-11-04; 0.8841; 3.9129
1996-04-11-05; 0.9365; 3.8788
1996-04-11-06; 0.9526; 4.0390
1996-04-11-07; 0.9909; 4.0706
1996-04-11-08; 0.9551; 4.1164
1996-04-11-09; 1.0318; 4.2373
1996-04-11-10; 1.1680; 4.0407
1996-04-11-11; 1.1807; 3.8407
1996-04-11-12; 1.1410; 3.8680
1996-04-11-13; 1.1817; 3.8534
1996-04-11-14; 1.2906; 3.8131
1996-04-11-15; 1.3268; 3.9536
1996-04-11-16; 1.3030; 3.9920
1996-04-11-17; 1.2803; 3.9894
1996-04-11-18; 1.1952; 3.8560
1996-04-11-19; 1.1851; 3.8829
1996-04-11-20; 1.1420; 3.9108
1996-04-11-21; 1.1420; 3.8968
1996-04-11-22; 1.0380; 3.8298
1996-04-11-23; 1.0251; 3.6864
1996-04-12-00; 1.0628; 3.7523
1996-04-12-01; 1.0514; 3.6520
1996-04-12-02; 1.0947; 3.7845
1996-04-12-03; 1.1694; 3.8405
1996-04-12-04; 1.3445; 3.9252
1996-04-12-05; 1.3812; 4.0374
1996-04-12-06; 1.4676; 4.0331
1996-04-12-07; 1.4616; 4.0544
1996-04-12-08; 1.5375; 4.0615
1996-04-12-09; 1.6011; 4.3330
1996-04-12-10; 1.5205; 4.1036
1996-04-12-11; 1.5067; 4.1938
1996-04-12-12; 1.5531; 4.0061
1996-04-12-13; 1.4952; 4.2297
1996-04-12-14; 1.4575; 4.1915
1996-04-12-15; 1.4780; 4.0721
1996-04-12-16; 1.5284; 4.1877
1996-04-12-17; 1.5417; 4.2715
1996-04-12-18; 1.5574; 4.3556
1996-04-12-19; 1.4882; 4.3284
1996-04-12-20; 1.4763; 4.1249
1996-04-12-21; 1.4034; 4.3438
1996-04-12-22; 1.3775; 4.3130
1996-04-12-23; 1.4156; 4.2728
1996-04-13-00; 1.3433; 4.3458
1996-04-13-01; 1.3555; 4.2395
1996-04-13-02; 1.3424; 4.2015
1996-04-13-03; 1.3716; 4.0289
1996-04-13-04; 1.4328; 4.1179
1996-04-13-05; 1.5333; 4.2567
1996-04-13-06; 1.5595; 4.3449
1996-04-13-07; 1.6613; 4.3218
1996-04-13-08; 1.5189; 4.2401
1996-04-13-09; 1.7638; 4.4436
1996-04-13-10; 1.8307; 4.4677
1996-04-13-11; 1.8654; 4.6051
1996-04-13-12; 2.0308; 4.6811
1996-04-13-13; 1.8661; 4.5532
1996-04-13-14; 1.8451; 4.7109
1996-04-13-15; 1.7508; 4.4664
1996-04-13-16; 1.5906; 4.4753
1996-04-13-17; 1.7013; 4.5697
1996-04-13-18; 1.6029; 4.6638
1996-04-13-19; 1.5556; 4.6346
1996-04-13-20; 1.4673; 4.7446
1996-04-13-21; 1.5234; 4.8110
1996-04-13-22; 1.4334; 4.7339
1996-04-13-23; 1.3789; 4.7626
1996-04-14-00; 1.2885; 4.7838
1996-04-14-01; 1.2383; 4.7566
1996-04-14-02; 1.1343; 4.7800
1996-04-14-03; 1.0877; 4.5067
1996-04-14-04; 1.1168; 4.5052
1996-04-14-05; 1.1049; 4.4891
1996-04-14-06; 1.0781; 4.2668
1996-04-14-07; 1.1367; 4.1737
1996-04-14-08; 1.3268; 3.9924
1996-04-14-09; 1.2035; 3.9322
1996-04-14-10; 1.3510; 4.0751
1996-04-14-11; 1.5463; 4.0487
1996-04-14-12; 1.5075; 4.0962
1996-04-14-13; 1.4014; 4.1526
1996-04-14-14; 1.3495; 4.0351
1996-04-14-15; 1.2474; 4.1144
1996-04-14-16; 1.1742; 4.1788
1996-04-14-17; 1.1722; 4.1881
1996-04-14-18; 1.0815; 4.1191
1996-04-14-19; 0.9857; 4.1602
1996-04-14-20; 1.0352; 4.1353
1996-04-14-21; 0.9787; 4.1519
1996-04-14-22; 0.9958; 4.2251
1996-04-14-23; 0.9007; 4.0024
1996-04-15-00; 0.8731; 4.0066
1996-04-15-01; 0.9020; 4.0061
1996-04-15-02; 0.8690; 4.1114
1996-04-15-03; 0.9056; 3.8323
1996-04-15-04; 1.0733; 3.7872
1996-04-15-05; 1.0022; 3.7045
1996-04-15-06; 1.0736; 3.8766
1996-04-15-07; 1.1218; 3.7095
1996-04-15-08; 1.2570; 3.8719
1996-04-15-09; 1.3786; 3.9935
1996-04-15-10; 1.5051; 4.1852
1996-04-15-11; 1.5346; 4.2395
1996-04-15-12; 1.7906; 4.3125
1996-04-15-13; 1.7556; 4.5670
1996-04-15-14; 1.6277; 4.4629
1996-04-15-15; 1.6755; 4.6564
1996-04-15-16; 1.6623; 4.9323
1996-04-15-17; 1.6555; 5.1833
1996-04-15-18; 1.4381; 4.8284
1996-04-15-19; 1.5414; 5.1642
1996-04-15-20; 1.9603; 5.6760
1996-04-15-21; 1.5328; 5.1012
1996-04-15-22; 1.4437; 5.0605
1996-04-15-23; 1.4359; 4.8473
1996-04-16-00; 1.4733; 4.8024
1996-04-16-01; 1.4213; 4.6585
1996-04-16-02; 1.3925; 4.6772
1996-04-16-03; 1.5367; 5.0385
1996-04-16-04; 1.7264; 5.1009
1996-04-16-05; 1.7731; 5.1118
1996-04-16-06; 1.9652; 5.5196
1996-04-16-07; 2.5401; 6.0480
1996-04-16-08; 2.3698; 5.9955
1996-04-16-09; 2.2968; 5.8634
1996-04-16-10; 2.5560; 5.9450
1996-04-16-11; 2.4629; 5.8497
1996-04-16-12; 2.5087; 5.7315
1996-04-16-13; 2.6783; 5.8149
1996-04-16-14; 2.5522; 5.6008
1996-04-16-15; 2.5271; 5.6199
1996-04-16-16; 2.4431; 5.7096
1996-04-16-17; 2.5126; 5.7775
1996-04-16-18; 2.2171; 5.4323
1996-04-16-19; 2.3945; 5.7506
1996-04-16-20; 2.2388; 5.6059
1996-04-16-21; 1.9968; 5.5079
1996-04-16-22; 2.2677; 5.7976
1996-04-16-23; 1.8290; 5.2676
1996-04-17-00; 1.8755; 5.2978
1996-04-17-01; 1.9296; 5.3186
1996-04-17-02; 1.8427; 5.3135
1996-04-17-03; 1.7859; 5.0559
1996-04-17-04; 1.8276; 5.0501
1996-04-17-05; 1.7552; 4.8836
1996-04-17-06; 1.8727; 4.8925
1996-04-17-07; 1.6543; 4.6252
1996-04-17-08; 1.6745; 4.7852
1996-04-17-09; 1.6914; 4.7108
1996-04-17-10; 1.5479; 4.6684
1996-04-17-11; 1.5996; 4.8527
1996-04-17-12; 1.4292; 4.6458
1996-04-17-13; 1.3672; 4.7624
1996-04-17-14; 1.3210; 4.4605
1996-04-17-15; 1.2703; 4.6191
1996-04-17-16; 1.2668; 4.4087
1996-04-17-17; 1.1858; 4.2411
1996-04-17-18; 1.2509; 4.2416
1996-04-17-19; 1.2085; 4.1028
1996-04-17-20; 1.3325; 4.2351
1996-04-17-21; 1.3439; 4.1712
1996-04-17-22; 1.3274; 4.0848
1996-04-17-23; 1.4247; 4.1962
1996-04-18-00; 1.2816; 4.0868
1996-04-18-01; 1.3628; 4.0658
1996-04-18-02; 1.3253; 4.1995
1996-04-18-03; 1.2451; 4.0179
1996-04-18-04; 1.2885; 4.0760
1996-04-18-05; 1.3631; 3.9886
1996-04-18-06; 1.5080; 3.9292
1996-04-18-07; 1.4790; 4.0174
1996-04-18-08; 1.4671; 4.1453
1996-04-18-09; 1.4102; 4.2583
1996-04-18-10; 1.2015; 4.1788
1996-04-18-11; 1.1619; 4.2885
1996-04-18-12; 1.2055; 4.3368
1996-04-18-13; 1.0789; 4.2107
1996-04-18-14; 1.1175; 4.1431
1996-04-18-15; 1.0525; 4.2390
1996-04-18-16; 1.0433; 4.1492
1996-04-18-17; 0.8890; 4.2157
1996-04-18-18; 0.9614; 4.1040
1996-04-18-19; 0.9522; 4.0728
1996-04-18-20; 1.0137; 4.0463
1996-04-18-21; 0.9386; 4.0772
1996-04-18-22; 0.9513; 4.1672
1996-04-18-23; 0.9082; 4.0604
1996-04-19-00; 0.8583; 4.0345
1996-04-19-01; 0.8786; 4.1732
1996-04-19-02; 0.8503; 4.3007
1996-04-19-03; 0.7671; 4.1573
1996-04-19-04; 0.7618; 4.1073
1996-04-19-05; 0.7350; 4.2222
1996-04-19-06; 0.7027; 4.1355
1996-04-19-07; 0.7629; 4.1372
1996-04-19-08; 0.7948; 3.8863
1996-04-19-09; 0.8940; 3.8863
1996-04-19-10; 1.0586; 3.7807
1996-04-19-11; 1.1601; 3.9130
1996-04-19-12; 1.1725; 4.1887
1996-04-19-13; 1.1222; 4.1094
1996-04-19-14; 1.2357; 4.2980
1996-04-19-15; 1.2273; 4.3428
1996-04-19-16; 1.1434; 4.3068
1996-04-19-17; 1.1504; 4.2023
1996-04-19-18; 1.1608; 4.1659
1996-04-19-19; 1.0837; 4.1541
1996-04-19-20; 1.0976; 4.2191
1996-04-19-21; 1.0430; 4.0948
1996-04-19-22; 1.1786; 4.0898
1996-04-19-23; 1.1157; 4.2660
1996-04-20-00; 1.0441; 3.9735
1996-04-20-01; 1.0699; 4.0517
1996-04-20-02; 1.1038; 4.0936
1996-04-20-03; 1.0074; 4.0538
1996-04-20-04; 1.0441; 4.0778
1996-04-20-05; 1.0914; 4.1281
1996-04-20-06; 1.0046; 4.0248
1996-04-20-07; 1.2009; 4.0411
1996-04-20-08; 1.3379; 3.9577
1996-04-20-09; 1.3546; 4.0658
1996-04-20-10; 1.5019; 4.1770
1996-04-20-11; 1.5865; 4.1944
1996-04-20-12; 1.6407; 4.2220
1996-04-20-13; 1.6798; 4.3429
1996-04-20-14; 1.6254; 4.3385
1996-04-20-15; 1.4687; 4.2572
1996-04-20-16; 1.4028; 4.2450
1996-04-20-17; 1.3716; 4.1680
1996-04-20-18; 1.4442; 4.1495
1996-04-20-19; 1.3760; 4.4611
1996-04-20-20; 1.2351; 4.2209
1996-04-20-21; 1.1958; 4.2568
1996-04-20-22; 1.2573; 4.4245
1996-04-20-23; 1.1752; 4.2646
1996-04-21-00; 1.1834; 4.3527
1996-04-21-01; 1.1687; 4.2236
1996-04-21-02; 1.1868; 4.3956
1996-04-21-04; 1.1871; 4.4610
1996-04-21-05; 1.1834; 4.4132
1996-04-21-06; 1.1677; 4.3353
1996-04-21-07; 1.2630; 4.4270
1996-04-21-08; 1.2791; 4.3561
1996-04-21-09; 1.5380; 4.4074
1996-04-21-10; 1.6220; 4.4211
1996-04-21-11; 1.6788; 4.2579
1996-04-21-12; 1.6185; 4.2911
1996-04-21-13; 1.6516; 4.3246
1996-04-21-14; 1.5842; 4.2390
1996-04-21-15; 1.5357; 4.4335
1996-04-21-16; 1.6232; 4.3952
1996-04-21-17; 1.4605; 4.3760
1996-04-21-18; 1.6470; 4.5874
1996-04-21-19; 1.4528; 4.5636
1996-04-21-20; 1.4453; 4.6495
1996-04-21-21; 1.3804; 4.6730
1996-04-21-22; 1.5096; 4.7071
1996-04-21-23; 1.4136; 4.5296
1996-04-22-00; 1.2913; 4.4115
1996-04-22-01; 1.3439; 4.5173
1996-04-22-02; 1.2211; 4.5162
1996-04-22-03; 1.3925; 4.6104
1996-04-22-04; 1.3385; 4.4062
1996-04-22-05; 1.5991; 4.5059
1996-04-22-06; 1.6133; 4.7300
1996-04-22-07; 1.5842; 4.5827
1996-04-22-08; 1.7124; 4.5696
1996-04-22-09; 2.0757; 4.9520
1996-04-22-10; 2.1291; 5.0357
1996-04-22-11; 2.1106; 4.9366
1996-04-22-12; 2.1845; 5.0452
1996-04-22-13; 2.1964; 5.1098
1996-04-22-14; 1.9851; 4.8682
1996-04-22-15; 1.9363; 4.9644
1996-04-22-16; 1.9803; 5.0199
1996-04-22-17; 1.9001; 5.0067
1996-04-22-18; 1.8000; 5.0421
1996-04-22-19; 1.7965; 5.0913
1996-04-22-20; 1.8164; 4.9353
1996-04-22-21; 1.7688; 4.9657
1996-04-22-22; 1.7310; 5.1248
1996-04-22-23; 1.5926; 5.2076
1996-04-23-00; 1.5333; 5.3181
1996-04-23-01; 1.6791; 5.3127
1996-04-23-02; 1.6538; 5.1685
1996-04-23-03; 1.7805; 4.9997
1996-04-23-04; 1.8927; 5.2115
1996-04-23-05; 1.9352; 5.3118
1996-04-23-06; 1.7976; 5.2809
1996-04-23-07; 1.7738; 5.3386
1996-04-23-08; 1.7231; 5.2969
1996-04-23-09; 1.6678; 5.5217
1996-04-23-10; 1.6113; 5.3933
1996-04-23-11; 1.5307; 5.4740
1996-04-23-12; 1.4395; 5.5641
1996-04-23-13; 1.3064; 5.1568
1996-04-23-14; 1.3243; 5.1708
1996-04-23-15; 1.3587; 5.2498
1996-04-23-16; 1.3113; 5.2385
1996-04-23-17; 1.2741; 5.2499
1996-04-23-18; 1.2019; 5.1350
1996-04-23-19; 1.2335; 5.1920
1996-04-23-20; 1.1684; 5.1651
1996-04-23-21; 1.1121; 5.1892
1996-04-23-22; 1.1417; 5.2059
1996-04-23-23; 1.1653; 5.3367
1996-04-24-00; 1.0046; 5.1991
1996-04-24-01; 0.9538; 5.0683
1996-04-24-02; 1.0271; 5.4182
1996-04-24-03; 0.9680; 5.2093
1996-04-24-04; 0.9002; 5.3330
1996-04-24-05; 0.9283; 5.4307
1996-04-24-06; 0.9496; 5.5079
1996-04-24-07; 0.8759; 5.4559
1996-04-24-08; 0.9056; 4.9297
1996-04-24-09; 0.8583; 4.4473
1996-04-24-10; 0.9750; 4.2630
1996-04-24-11; 1.2480; 4.5319
1996-04-24-12; 1.3439; 4.5586
1996-04-24-13; 1.4979; 4.8577
1996-04-24-14; 1.5865; 5.2928
1996-04-24-15; 1.8444; 5.4701
1996-04-24-16; 1.8375; 5.5588
1996-04-24-17; 1.6654; 5.2607
1996-04-24-18; 1.6661; 4.9758
1996-04-24-19; 1.5782; 4.9756
1996-04-24-20; 1.6426; 5.0780
1996-04-24-21; 1.4600; 5.0177
1996-04-24-22; 1.3590; 4.9983
1996-04-24-23; 1.3337; 5.1263
1996-04-25-00; 1.3204; 5.0630
1996-04-25-01; 1.3328; 5.3049
1996-04-25-02; 1.2515; 5.2886
1996-04-25-03; 1.3116; 5.4014
1996-04-25-04; 1.2260; 5.2074
1996-04-25-05; 1.3082; 5.4320
1996-04-25-06; 1.1204; 5.2741
1996-04-25-07; 1.2807; 5.4237
1996-04-25-08; 1.1722; 5.4307
1996-04-25-09; 1.2601; 5.5909
1996-04-25-10; 1.1466; 5.3417
1996-04-25-11; 1.1424; 5.3562
1996-04-25-12; 1.0995; 5.2842
1996-04-25-13; 1.0456; 5.3144
1996-04-25-14; 0.9800; 5.1176
1996-04-25-15; 0.8881; 4.5006
1996-04-25-16; 0.9274; 4.3495
1996-04-25-17; 0.8841; 4.1172
1996-04-25-18; 0.8722; 4.1544
1996-04-25-19; 0.8671; 4.3102
1996-04-25-20; 0.7660; 4.0418
1996-04-25-21; 0.8346; 4.1824
1996-04-25-22; 0.8018; 3.9804
1996-04-25-23; 0.7795; 3.8610
1996-04-26-00; 0.7485; 3.7349
1996-04-26-01; 0.7004; 3.8584
1996-04-26-02; 0.6912; 3.7517
1996-04-26-03; 0.6536; 3.7090
1996-04-26-04; 0.6597; 3.6906
1996-04-26-05; 0.6688; 3.7389
1996-04-26-06; 0.7140; 3.7143
1996-04-26-07; 0.7507; 3.7029
1996-04-26-08; 0.7576; 3.6627
1996-04-26-09; 0.8137; 3.6477
1996-04-26-10; 0.8527; 3.5784
1996-04-26-11; 0.8142; 3.5990
1996-04-26-12; 0.8620; 3.7010
1996-04-26-13; 0.8038; 3.7048
1996-04-26-14; 0.8068; 3.5906
1996-04-26-15; 0.7851; 3.6709
1996-04-26-16; 0.7691; 3.6495
1996-04-26-17; 0.8013; 3.5920
1996-04-26-18; 0.7836; 3.6426
1996-04-26-19; 0.7691; 3.6520
1996-04-26-20; 0.7592; 3.6472
1996-04-26-21; 0.7539; 3.7277
1996-04-26-22; 0.7405; 3.7665
1996-04-26-23; 0.7246; 3.7045
1996-04-27-00; 0.7027; 3.8349
1996-04-27-01; 0.6813; 3.8691
1996-04-27-02; 0.7329; 3.9734
1996-04-27-03; 0.7072; 4.0856
1996-04-27-04; 0.6438; 3.9661
1996-04-27-05; 0.6664; 4.1282
1996-04-27-06; 0.6640; 4.1258
1996-04-27-07; 0.6524; 4.0698
1996-04-27-08; 0.6724; 3.9205
1996-04-27-09; 0.6105; 3.9245
1996-04-27-10; 0.6072; 3.9000
1996-04-27-11; 0.5795; 3.9923
1996-04-27-12; 0.5251; 4.0370
1996-04-27-13; 0.4953; 4.0049
1996-04-27-14; 0.4771; 3.9779
1996-04-27-15; 0.4879; 3.9445
1996-04-27-16; 0.5009; 3.9077
1996-04-27-17; 0.5096; 3.8766
1996-04-27-18; 0.5197; 3.7142
1996-04-27-19; 0.5112; 3.5186
1996-04-27-20; 0.5424; 3.5696
1996-04-27-21; 0.6280; 3.5035
1996-04-27-22; 0.6318; 3.3697
1996-04-27-23; 0.7528; 3.3629
1996-04-28-00; 0.8365; 3.3584
1996-04-28-01; 0.8489; 3.4205
1996-04-28-02; 0.8380; 3.5816
1996-04-28-03; 0.8989; 3.5022
1996-04-28-04; 0.9016; 3.6062
1996-04-28-05; 0.9614; 3.6175
1996-04-28-06; 0.8868; 3.6378
1996-04-28-07; 0.8931; 3.6548
1996-04-28-08; 0.8763; 3.6229
1996-04-28-09; 0.8717; 3.5561
