significant wave height (m);zero-up-crossing period (s)
0.0;2.25
0.0;2.2
0.0;2.15
0.0;2.1
0.05;2.1
0.05;2.0500000000000003
0.05;2.0
0.05;1.9500000000000002
0.05;1.9000000000000001
0.05;1.85
0.05;1.8
0.05;1.75
0.05;1.7000000000000002
0.05;1.6500000000000001
0.05;1.6
0.05;1.55
0.05;1.5
0.05;1.4500000000000002
0.05;1.4000000000000001
0.05;1.35
0.05;1.3
0.05;1.25
0.1;1.25
0.1;1.2000000000000002
0.1;1.1500000000000001
0.15000000000000002;1.1500000000000001
0.2;1.1500000000000001
0.2;1.2000000000000002
0.25;1.2000000000000002
0.30000000000000004;1.2000000000000002
0.30000000000000004;1.25
0.35000000000000003;1.25
0.35000000000000003;1.3
0.4;1.3
0.4;1.35
0.45;1.35
0.45;1.4000000000000001
0.5;1.4000000000000001
0.5;1.4500000000000002
0.55;1.4500000000000002
0.55;1.5
0.6000000000000001;1.5
0.6000000000000001;1.55
0.65;1.55
0.65;1.6
0.7000000000000001;1.6
0.7000000000000001;1.6500000000000001
0.75;1.6500000000000001
0.75;1.7000000000000002
0.8;1.7000000000000002
0.8;1.75
0.8500000000000001;1.75
0.8500000000000001;1.8
0.9;1.8
0.9;1.85
0.9500000000000001;1.85
0.9500000000000001;1.9000000000000001
1.0;1.9000000000000001
1.0;1.9500000000000002
1.0;2.0
1.05;2.0
1.05;2.0500000000000003
1.1;2.0500000000000003
1.1;2.1
1.1500000000000001;2.1
1.1500000000000001;2.15
1.2000000000000002;2.15
1.2000000000000002;2.2
1.25;2.2
1.25;2.25
1.3;2.25
1.3;2.3000000000000003
1.35;2.3000000000000003
1.35;2.35
1.4000000000000001;2.35
1.4000000000000001;2.4000000000000004
1.4500000000000002;2.4000000000000004
1.4500000000000002;2.45
1.5;2.45
1.5;2.5
1.55;2.5
1.55;2.5500000000000003
1.6;2.5500000000000003
1.6;2.6
1.6500000000000001;2.6
1.6500000000000001;2.6500000000000004
1.7000000000000002;2.6500000000000004
1.7000000000000002;2.7
1.7000000000000002;2.75
1.75;2.75
1.75;2.8000000000000003
1.8;2.8000000000000003
1.8;2.85
1.85;2.85
1.85;2.9000000000000004
1.9000000000000001;2.9000000000000004
