significant wave height (m);zero-up-crossing period (s)
7.6000000000000005;7.0
7.550000000000001;7.0
7.5;7.0
7.5;6.95
7.45;6.95
7.45;6.9
7.4;6.9
7.3500000000000005;6.9
7.3500000000000005;6.8500000000000005
7.300000000000001;6.8500000000000005
7.25;6.8500000000000005
7.25;6.800000000000001
7.2;6.800000000000001
7.15;6.800000000000001
7.15;6.75
7.1000000000000005;6.75
7.1000000000000005;6.7
7.050000000000001;6.7
7.0;6.7
7.0;6.65
6.95;6.65
6.9;6.65
6.9;6.6000000000000005
6.8500000000000005;6.6000000000000005
6.800000000000001;6.6000000000000005
6.800000000000001;6.550000000000001
6.75;6.550000000000001
6.75;6.5
6.7;6.5
6.65;6.5
6.65;6.45
6.6000000000000005;6.45
6.550000000000001;6.45
6.550000000000001;6.4
6.5;6.4
6.5;6.3500000000000005
6.45;6.3500000000000005
6.4;6.3500000000000005
6.4;6.300000000000001
6.3500000000000005;6.300000000000001
6.300000000000001;6.300000000000001
6.300000000000001;6.25
6.25;6.25
6.25;6.2
6.2;6.2
6.15;6.2
6.15;6.15
6.1000000000000005;6.15
6.050000000000001;6.15
6.050000000000001;6.1000000000000005
6.0;6.1000000000000005
6.0;6.050000000000001
5.95;6.050000000000001
5.9;6.050000000000001
5.9;6.0
5.8500000000000005;6.0
5.800000000000001;6.0
5.800000000000001;5.95
5.75;5.95
5.75;5.9
5.7;5.9
5.65;5.9
5.65;5.8500000000000005
5.6000000000000005;5.8500000000000005
5.550000000000001;5.8500000000000005
5.550000000000001;5.800000000000001
5.5;5.800000000000001
5.5;5.75
5.45;5.75
5.4;5.75
5.4;5.7
5.3500000000000005;5.7
5.3500000000000005;5.65
5.300000000000001;5.65
5.25;5.65
5.25;5.6000000000000005
5.2;5.6000000000000005
5.15;5.6000000000000005
5.15;5.550000000000001
5.1000000000000005;5.550000000000001
5.1000000000000005;5.5
5.050000000000001;5.5
5.0;5.5
5.0;5.45
4.95;5.45
4.95;5.4
4.9;5.4
4.8500000000000005;5.4
4.8500000000000005;5.3500000000000005
4.800000000000001;5.3500000000000005
4.800000000000001;5.300000000000001
4.75;5.300000000000001
4.7;5.300000000000001
4.7;5.25
4.65;5.25
4.6000000000000005;5.25
4.6000000000000005;5.2
4.55;5.2
4.55;5.15
4.5;5.15
4.45;5.15
4.45;5.1000000000000005
4.4;5.1000000000000005
4.4;5.050000000000001
4.3500000000000005;5.050000000000001
4.3;5.050000000000001
4.3;5.0
4.25;5.0
4.25;4.95
4.2;4.95
4.15;4.95
4.15;4.9
4.1000000000000005;4.9
4.1000000000000005;4.8500000000000005
4.05;4.8500000000000005
4.0;4.8500000000000005
4.0;4.800000000000001
3.95;4.800000000000001
3.95;4.75
3.9000000000000004;4.75
3.85;4.75
3.85;4.7
3.8000000000000003;4.7
3.8000000000000003;4.65
3.75;4.65
3.75;4.6000000000000005
3.7;4.6000000000000005
3.6500000000000004;4.6000000000000005
3.6500000000000004;4.55
3.6;4.55
3.6;4.5
3.5500000000000003;4.5
3.5;4.5
3.5;4.45
3.45;4.45
3.45;4.4
3.4000000000000004;4.4
3.35;4.4
3.35;4.3500000000000005
3.3000000000000003;4.3500000000000005
3.3000000000000003;4.3
3.25;4.3
3.25;4.25
3.2;4.25
3.1500000000000004;4.25
3.1500000000000004;4.2
3.1;4.2
3.1;4.15
3.0500000000000003;4.15
3.0500000000000003;4.1000000000000005
3.0;4.1000000000000005
2.95;4.1000000000000005
2.95;4.05
2.9000000000000004;4.05
2.9000000000000004;4.0
2.85;4.0
2.85;3.95
2.8000000000000003;3.95
2.75;3.95
2.75;3.9000000000000004
2.7;3.9000000000000004
2.7;3.85
2.6500000000000004;3.85
2.6500000000000004;3.8000000000000003
2.6;3.8000000000000003
2.5500000000000003;3.8000000000000003
2.5500000000000003;3.75
2.5;3.75
2.5;3.7
2.45;3.7
2.45;3.6500000000000004
2.4000000000000004;3.6500000000000004
2.35;3.6500000000000004
2.35;3.6
2.3000000000000003;3.6
2.3000000000000003;3.5500000000000003
2.25;3.5500000000000003
2.25;3.5
2.2;3.5
2.2;3.45
2.15;3.45
2.1;3.45
2.1;3.4000000000000004
2.0500000000000003;3.4000000000000004
2.0500000000000003;3.35
2.0;3.35
2.0;3.3000000000000003
1.9500000000000002;3.3000000000000003
1.9500000000000002;3.25
1.9000000000000001;3.25
1.85;3.25
1.85;3.2
1.8;3.2
1.8;3.1500000000000004
1.75;3.1500000000000004
1.75;3.1
1.7000000000000002;3.1
1.7000000000000002;3.0500000000000003
1.6500000000000001;3.0500000000000003
1.6500000000000001;3.0
1.6;3.0
1.55;3.0
1.55;2.95
1.5;2.95
1.5;2.9000000000000004
1.4500000000000002;2.9000000000000004
1.4500000000000002;2.85
1.4000000000000001;2.85
1.4000000000000001;2.8000000000000003
1.35;2.8000000000000003
1.35;2.75
1.3;2.75
1.3;2.7
1.25;2.7
1.2000000000000002;2.7
1.2000000000000002;2.6500000000000004
1.1500000000000001;2.6500000000000004
1.1500000000000001;2.6
1.1;2.6
1.1;2.5500000000000003
1.05;2.5500000000000003
1.05;2.5
1.0;2.5
1.0;2.45
0.9500000000000001;2.45
0.9500000000000001;2.4000000000000004
0.9;2.4000000000000004
0.9;2.35
0.8500000000000001;2.35
0.8500000000000001;2.3000000000000003
0.8;2.3000000000000003
0.75;2.3000000000000003
0.75;2.25
0.7000000000000001;2.25
0.7000000000000001;2.2
0.65;2.2
0.65;2.15
0.6000000000000001;2.15
0.6000000000000001;2.1
0.55;2.1
0.55;2.0500000000000003
0.5;2.0500000000000003
0.5;2.0
0.45;2.0
0.45;1.9500000000000002
0.4;1.9500000000000002
0.4;1.9000000000000001
0.35000000000000003;1.9000000000000001
0.35000000000000003;1.85
0.30000000000000004;1.85
0.30000000000000004;1.8
0.25;1.8
0.2;1.8
0.2;1.75
0.15000000000000002;1.75
0.15000000000000002;1.7000000000000002
0.1;1.7000000000000002
0.1;1.75
0.05;1.75
0.05;1.8
0.05;1.85
0.05;1.9000000000000001
0.05;1.9500000000000002
0.05;2.0
0.05;2.0500000000000003
0.05;2.1
0.05;2.15
0.05;2.2
0.05;2.25
0.0;2.25
0.0;2.3000000000000003
0.0;2.35
0.0;2.4000000000000004
0.0;2.45
0.0;2.5
0.0;2.5500000000000003
0.0;2.6
0.0;2.6500000000000004
0.0;2.7
0.0;2.75
0.0;2.8000000000000003
0.0;2.85
0.0;2.9000000000000004
0.0;2.95
0.0;3.0
0.0;3.0500000000000003
0.0;3.1
0.05;3.1
0.05;3.1500000000000004
0.05;3.2
0.05;3.25
0.05;3.3000000000000003
0.05;3.35
0.05;3.4000000000000004
0.05;3.45
0.05;3.5
0.05;3.5500000000000003
0.05;3.6
0.05;3.6500000000000004
0.05;3.7
0.05;3.75
0.05;3.8000000000000003
0.05;3.85
0.05;3.9000000000000004
0.05;3.95
0.05;4.0
0.05;4.05
0.05;4.1000000000000005
0.05;4.15
0.05;4.2
0.05;4.25
0.05;4.3
0.05;4.3500000000000005
0.05;4.4
0.05;4.45
0.05;4.5
0.05;4.55
0.05;4.6000000000000005
0.05;4.65
0.05;4.7
0.05;4.75
0.05;4.800000000000001
0.05;4.8500000000000005
0.05;4.9
0.05;4.95
0.05;5.0
0.05;5.050000000000001
0.05;5.1000000000000005
0.05;5.15
0.05;5.2
0.05;5.25
0.05;5.300000000000001
0.05;5.3500000000000005
