wind speed (m s$^{-1}$);significant wave height (m)
0.0;0.0
0.0;0.05
0.0;0.1
0.0;0.15000000000000002
0.0;0.2
0.0;0.25
0.0;0.30000000000000004
0.0;0.35000000000000003
0.0;0.4
0.0;0.45
0.0;0.5
0.0;0.55
0.0;0.6000000000000001
0.0;0.65
0.0;0.7000000000000001
0.0;0.75
0.0;0.8
0.0;0.8500000000000001
0.0;0.9
0.0;0.9500000000000001
0.0;1.0
0.0;1.05
0.0;1.1
0.0;1.1500000000000001
0.0;1.2000000000000002
0.0;1.25
0.0;1.3
0.0;1.35
0.0;1.4000000000000001
0.0;1.4500000000000002
0.0;1.5
0.0;1.55
0.0;1.6
0.0;1.6500000000000001
0.0;1.7000000000000002
0.0;1.75
0.0;1.8
0.0;1.85
0.0;1.9000000000000001
0.0;1.9500000000000002
0.0;2.0
0.0;2.0500000000000003
0.0;2.1
0.0;2.15
0.0;2.2
0.0;2.25
0.0;2.3000000000000003
0.0;2.35
0.0;2.4000000000000004
0.0;2.45
0.0;2.5
0.0;2.5500000000000003
0.0;2.6
0.0;2.6500000000000004
0.0;2.7
0.0;2.75
0.0;2.8000000000000003
0.0;2.85
0.0;2.9000000000000004
0.0;2.95
0.0;3.0
0.0;3.0500000000000003
0.0;3.1
0.0;3.1500000000000004
0.0;3.2
0.0;3.25
0.0;3.3000000000000003
0.0;3.35
0.0;3.4000000000000004
0.0;3.45
0.0;3.5
0.0;3.5500000000000003
0.0;3.6
0.0;3.6500000000000004
0.0;3.7
0.0;3.75
0.0;3.8000000000000003
0.0;3.85
0.0;3.9000000000000004
0.0;3.95
0.0;4.0
0.0;4.05
0.0;4.1000000000000005
0.0;4.15
0.0;4.2
0.0;4.25
0.0;4.3
0.0;4.3500000000000005
0.0;4.4
0.0;4.45
0.0;4.5
0.0;4.55
0.0;4.6000000000000005
0.0;4.65
0.0;4.7
0.0;4.75
0.0;4.800000000000001
0.05;4.800000000000001
0.05;4.8500000000000005
0.05;4.9
0.05;4.95
0.05;5.0
0.05;5.050000000000001
0.05;5.1000000000000005
0.05;5.15
0.05;5.2
0.05;5.25
0.05;5.300000000000001
0.05;5.3500000000000005
0.05;5.4
0.05;5.45
0.05;5.5
0.05;5.550000000000001
0.05;5.6000000000000005
0.05;5.65
0.05;5.7
0.1;5.7
0.1;5.75
0.1;5.800000000000001
0.1;5.8500000000000005
0.1;5.9
0.15000000000000002;5.9
0.15000000000000002;5.95
0.15000000000000002;6.0
0.15000000000000002;6.050000000000001
0.2;6.050000000000001
0.2;6.1000000000000005
0.2;6.15
0.25;6.15
0.25;6.2
0.30000000000000004;6.2
0.30000000000000004;6.25
0.35000000000000003;6.25
0.35000000000000003;6.300000000000001
0.4;6.300000000000001
0.45;6.300000000000001
0.45;6.3500000000000005
0.5;6.3500000000000005
0.55;6.3500000000000005
0.55;6.4
0.6000000000000001;6.4
0.65;6.4
0.7000000000000001;6.4
0.75;6.4
0.8;6.4
0.8;6.45
0.8500000000000001;6.45
0.9;6.45
0.9500000000000001;6.45
1.0;6.45
1.05;6.45
1.1;6.45
1.1500000000000001;6.45
1.2000000000000002;6.45
1.25;6.45
1.3;6.45
1.35;6.45
1.4000000000000001;6.45
1.4500000000000002;6.45
1.5;6.45
1.55;6.45
1.6;6.45
1.6500000000000001;6.45
1.7000000000000002;6.45
1.75;6.45
1.8;6.45
1.85;6.45
1.9000000000000001;6.45
1.9500000000000002;6.45
2.0;6.45
2.0500000000000003;6.45
2.1;6.45
2.15;6.45
2.2;6.45
2.25;6.45
2.25;6.4
2.3000000000000003;6.4
2.35;6.4
2.4000000000000004;6.4
2.45;6.4
2.5;6.4
2.5500000000000003;6.4
2.6;6.4
2.6500000000000004;6.4
2.7;6.4
2.75;6.4
2.8000000000000003;6.4
2.85;6.4
2.9000000000000004;6.4
2.95;6.4
3.0;6.4
3.0500000000000003;6.4
3.1;6.4
3.1;6.3500000000000005
3.1500000000000004;6.3500000000000005
3.2;6.3500000000000005
3.25;6.3500000000000005
3.3000000000000003;6.3500000000000005
3.35;6.3500000000000005
3.4000000000000004;6.3500000000000005
3.45;6.3500000000000005
3.5;6.3500000000000005
3.5500000000000003;6.3500000000000005
3.6;6.3500000000000005
3.6500000000000004;6.3500000000000005
3.7;6.3500000000000005
3.75;6.3500000000000005
3.8000000000000003;6.3500000000000005
3.8000000000000003;6.300000000000001
3.85;6.300000000000001
3.9000000000000004;6.300000000000001
3.95;6.300000000000001
4.0;6.300000000000001
4.05;6.300000000000001
4.1000000000000005;6.300000000000001
4.15;6.300000000000001
4.2;6.300000000000001
4.25;6.300000000000001
4.3;6.300000000000001
4.3500000000000005;6.300000000000001
4.4;6.300000000000001
4.4;6.25
4.45;6.25
4.5;6.25
4.55;6.25
4.6000000000000005;6.25
4.65;6.25
4.7;6.25
4.75;6.25
4.800000000000001;6.25
4.8500000000000005;6.25
4.9;6.25
4.95;6.25
4.95;6.2
5.0;6.2
5.050000000000001;6.2
5.1000000000000005;6.2
5.15;6.2
5.2;6.2
5.25;6.2
5.300000000000001;6.2
5.3500000000000005;6.2
5.4;6.2
5.45;6.2
5.45;6.15
5.5;6.15
5.550000000000001;6.15
5.6000000000000005;6.15
5.65;6.15
5.7;6.15
5.75;6.15
5.800000000000001;6.15
5.8500000000000005;6.15
5.9;6.15
5.95;6.15
6.0;6.15
6.0;6.1000000000000005
6.050000000000001;6.1000000000000005
6.1000000000000005;6.1000000000000005
6.15;6.1000000000000005
6.2;6.1000000000000005
6.25;6.1000000000000005
6.300000000000001;6.1000000000000005
6.3500000000000005;6.1000000000000005
6.4;6.1000000000000005
6.45;6.1000000000000005
6.5;6.1000000000000005
6.550000000000001;6.1000000000000005
6.6000000000000005;6.1000000000000005
6.6000000000000005;6.050000000000001
6.65;6.050000000000001
6.7;6.050000000000001
6.75;6.050000000000001
6.800000000000001;6.050000000000001
6.8500000000000005;6.050000000000001
6.9;6.050000000000001
6.95;6.050000000000001
7.0;6.050000000000001
7.050000000000001;6.050000000000001
7.1000000000000005;6.050000000000001
7.15;6.050000000000001
7.2;6.050000000000001
7.25;6.050000000000001
7.300000000000001;6.050000000000001
7.3500000000000005;6.050000000000001
7.4;6.050000000000001
7.45;6.050000000000001
7.5;6.050000000000001
7.550000000000001;6.050000000000001
7.550000000000001;6.0
7.6000000000000005;6.0
7.65;6.0
7.7;6.0
7.75;6.0
7.800000000000001;6.0
7.8500000000000005;6.0
7.9;6.0
7.95;6.0
8.0;6.0
8.05;6.0
8.1;6.0
8.15;6.0
8.200000000000001;6.0
8.25;6.0
8.3;6.0
8.35;6.0
8.4;6.0
8.450000000000001;6.0
8.450000000000001;6.050000000000001
8.5;6.050000000000001
8.55;6.050000000000001
8.6;6.050000000000001
8.65;6.050000000000001
8.700000000000001;6.050000000000001
8.75;6.050000000000001
8.8;6.050000000000001
8.85;6.050000000000001
8.9;6.050000000000001
8.950000000000001;6.050000000000001
9.0;6.050000000000001
9.05;6.050000000000001
9.1;6.050000000000001
9.15;6.050000000000001
9.200000000000001;6.050000000000001
9.25;6.050000000000001
9.3;6.050000000000001
9.3;6.1000000000000005
9.35;6.1000000000000005
9.4;6.1000000000000005
9.450000000000001;6.1000000000000005
9.5;6.1000000000000005
9.55;6.1000000000000005
