significant wave height (m);zero-up-crossing period (s)
0.098148;4.564593  
0.098150;4.156460  
0.098155;3.786253  
0.098165;3.451624  
0.098183;3.150123  
0.098210;2.879271  
0.098256;2.636619  
0.098332;2.419799  
0.098461;2.226557  
0.098684;2.054788  
0.099072;1.902561  
0.099757;1.768147  
0.100967;1.650051  
0.103098;1.547059  
0.106807;1.458292  
0.113145;1.383278  
0.123698;1.322004  
0.140709;1.274949  
0.167102;1.243046  
0.206347;1.227598  
0.262140;1.230156  
0.337939;1.252410  
0.436505;1.296109  
0.559570;1.362992  
0.707717;1.454732  
0.880446;1.572859  
1.076362;1.718650  
1.293405;1.892995  
1.529051;2.096245  
1.780492;2.328068  
2.044754;2.587342  
2.318788;2.872111  
2.599531;3.179610  
2.883949;3.506362  
3.169065;3.848344  
3.451982;4.201181  
3.729905;4.560362  
4.000150;4.921449  
4.260162;5.280252  
4.507528;5.632976  
4.739988;5.976317  
4.955445;6.307521  
5.151979;6.624409  
5.327854;6.925374  
5.481532;7.209361  
5.611674;7.475838  
5.717156;7.724765  
5.797070;7.956554  
5.850728;8.172049  
5.877673;8.372502  
5.877673;8.559553  
5.850728;8.735225  
5.797070;8.901920  
5.717156;9.062421  
5.611674;9.219898  
5.481532;9.377912  
5.327854;9.540432  
5.151979;9.711834  
4.955445;9.896911  
4.739988;10.100857  
4.507528;10.329245  
4.260162;10.587968  
4.000150;10.883139  
3.729905;11.220908  
3.451982;11.607193  
3.169065;12.047257  
2.883949;12.545102  
2.599531;13.102633  
2.318788;13.718564  
2.044754;14.387093  
1.780492;15.096446  
1.529051;15.827539  
1.293405;16.553165  
1.076362;17.238295  
0.880446;17.842097  
0.707717;18.322077  
0.559570;18.640104  
0.436505;18.769136  
0.337939;18.698541  
0.262140;18.435815  
0.206347;18.003628  
0.167102;17.433320  
0.140709;16.757695  
0.123698;16.005973  
0.113145;15.201989  
0.106807;14.364722  
0.103098;13.509596  
0.100967;12.649569  
0.099757;11.795750  
0.099072;10.957674  
0.098684;10.143404  
0.098461;9.359574  
0.098332;8.611430  
0.098256;7.902896  
0.098210;7.236668  
0.098183;6.614332  
0.098165;6.036502  
0.098155;5.502960  
0.098150;5.012806  
0.098148;4.564593  
