significant wave height (m);zero-up-crossing period (s)
0.188122;4.475631  
0.188126;4.163311  
0.188139;3.873925  
0.188162;3.606763  
0.188201;3.360965  
0.188263;3.135561  
0.188362;2.929513  
0.188523;2.741751  
0.188788;2.571205  
0.189227;2.416841  
0.189967;2.277694  
0.191221;2.152908  
0.193348;2.041790  
0.196942;1.943872  
0.202943;1.858987  
0.212782;1.787353  
0.228518;1.729623  
0.252915;1.686891  
0.289391;1.660599  
0.341777;1.652376  
0.413883;1.663849  
0.508983;1.696481  
0.629352;1.751474  
0.776016;1.829729  
0.948735;1.931834  
1.146186;2.058052  
1.366222;2.208307  
1.606154;2.382148  
1.862977;2.578723  
2.133533;2.796746  
2.414629;3.034499  
2.703109;3.289847  
2.995891;3.560296  
3.289998;3.843062  
3.582571;4.135171  
3.870879;4.433561  
4.152323;4.735186  
4.424445;5.037116  
4.684930;5.336616  
4.931614;5.631215  
5.162487;5.918753  
5.375699;6.197409  
5.569567;6.465716  
5.742577;6.722568  
5.893392;6.967204  
6.020859;7.199203  
6.124007;7.418464  
6.202055;7.625189  
6.254415;7.819866  
6.280693;8.003251  
6.280693;8.176356  
6.254415;8.340436  
6.202055;8.496972  
6.124007;8.647669  
6.020859;8.794438  
5.893392;8.939385  
5.742577;9.084797  
5.569567;9.233123  
5.375699;9.386941  
5.162487;9.548924  
4.931614;9.721784  
4.684930;9.908193  
4.424445;10.110686  
4.152323;10.331514  
3.870879;10.572465  
3.582571;10.834617  
3.289998;11.118039  
2.995891;11.421425  
2.703109;11.741675  
2.414629;12.073457  
2.133533;12.408804  
1.862977;12.736859  
1.606154;13.043894  
1.366222;13.313797  
1.146186;13.529183  
0.948735;13.673196  
0.776016;13.731871  
0.629352;13.696587  
0.508983;13.565846  
0.413883;13.345575  
0.341777;13.047532  
0.289391;12.686328  
0.252915;12.276315  
0.228518;11.829596  
0.212782;11.355616  
0.202943;10.861768  
0.196942;10.354239  
0.193348;9.838594  
0.191221;9.320029  
0.189967;8.803410  
0.189227;8.293214  
0.188788;7.793453  
0.188523;7.307619  
0.188362;6.838647  
0.188263;6.388909  
0.188201;5.960233  
0.188162;5.553930  
0.188139;5.170842  
0.188126;4.811390  
0.188122;4.475631  
