significant wave height (m);zero-up-crossing period (s)
0.056699;3.645933  
0.056702;3.475523  
0.056712;3.313731  
0.056731;3.160704  
0.056764;3.016502  
0.056816;2.881113  
0.056900;2.754467  
0.057037;2.636454  
0.057265;2.526943  
0.057648;2.425806  
0.058300;2.332953  
0.059419;2.248382  
0.061343;2.172241  
0.064636;2.104911  
0.070206;2.047098  
0.079459;1.999895  
0.094448;1.964769  
0.117974;1.943458  
0.153563;1.937804  
0.205240;1.949592  
0.277101;1.980433  
0.372771;2.031697  
0.494899;2.104466  
0.644861;2.199525  
0.822695;2.317351  
1.027262;2.458124  
1.256506;2.621730  
1.507735;2.807751  
1.777860;3.015450  
2.063583;3.243752  
2.361521;3.491239  
2.668289;3.756149  
2.980558;4.036396  
3.295084;4.329605  
3.608730;4.633163  
3.918483;4.944281  
4.221463;5.260059  
4.514934;5.577557  
4.796309;5.893863  
5.063162;6.206156  
5.313234;6.511759  
5.544441;6.808190  
5.754883;7.093200  
5.942849;7.364800  
6.106825;7.621288  
6.245501;7.861261  
6.357776;8.083625  
6.442764;8.287599  
6.499796;8.472713  
6.528424;8.638802  
6.528424;8.785996  
6.499796;8.914703  
6.442764;9.025595  
6.357776;9.119579  
6.245501;9.197773  
6.106825;9.261469  
5.942849;9.312101  
5.754883;9.351196  
5.544441;9.380325  
5.313234;9.401051  
5.063162;9.414862  
4.796309;9.423108  
4.514934;9.426921  
4.221463;9.427137  
3.918483;9.424213  
3.608730;9.418139  
3.295084;9.408361  
2.980558;9.393717  
2.668289;9.372391  
2.361521;9.341926  
2.063583;9.299289  
1.777860;9.241034  
1.507735;9.163572  
1.256506;9.063570  
1.027262;8.938457  
0.822695;8.786988  
0.644861;8.609759  
0.494899;8.409504  
0.372771;8.190997  
0.277101;7.960451  
0.205240;7.724451  
0.153563;7.488695  
0.117974;7.256937  
0.094448;7.030518  
0.079459;6.808670  
0.070206;6.589442  
0.064636;6.370772  
0.061343;6.151232  
0.059419;5.930282  
0.058300;5.708160  
0.057648;5.485644  
0.057265;5.263813  
0.057037;5.043870  
0.056900;4.827019  
0.056816;4.614396  
0.056764;4.407029  
0.056731;4.205811  
0.056712;4.011500  
0.056702;3.824712  
0.056699;3.645933  
