significant wave height (m);wind speed (m/s)
0.102323;1.729045  
0.102332;1.323249  
0.102361;0.985795  
0.102416;0.713613  
0.102505;0.501363  
0.102644;0.341783  
0.102862;0.226331  
0.103202;0.146015  
0.103741;0.092254  
0.104604;0.057557  
0.105996;0.035900  
0.108255;0.022791  
0.111924;0.015103  
0.117852;0.010807  
0.127334;0.008694  
0.142258;0.008179  
0.165240;0.009227  
0.199703;0.012439  
0.249815;0.019360  
0.320259;0.032979  
0.415840;0.058257  
0.540989;0.102358  
0.699293;0.174344  
0.893147;0.284371  
1.123601;0.442726  
1.390373;0.659037  
1.691997;0.941824  
2.026025;1.298346  
2.389248;1.734609  
2.777889;2.255412  
3.187774;2.864337  
3.614463;3.563671  
4.053357;4.354234  
4.499777;5.235157  
4.949035;6.203619  
5.396488;7.254590  
5.837579;8.380610  
6.267883;9.571645  
6.683138;10.815064  
7.079284;12.095769  
7.452485;13.396532  
7.799163;14.698563  
8.116020;15.982308  
8.400065;17.228441  
8.648630;18.418937  
8.859393;19.538056  
9.030394;20.573052  
9.160047;21.514500  
9.247154;22.356217  
9.290909;23.094863  
9.290909;23.729388  
9.247154;24.260431  
9.160047;24.689794  
9.030394;25.020023  
8.859393;25.254099  
8.648630;25.395233  
8.400065;25.446739  
8.116020;25.411966  
7.799163;25.294270  
7.452485;25.097008  
7.079284;24.823561  
6.683138;24.477357  
6.267883;24.061921  
5.837579;23.580924  
5.396488;23.038245  
4.949035;22.438058  
4.499777;21.784927  
4.053357;21.083936  
3.614463;20.340843  
3.187774;19.562282  
2.777889;18.756021  
2.389248;17.931265  
2.026025;17.099037  
1.691997;16.272593  
1.390373;15.467847  
1.123601;14.703679  
0.893147;14.001908  
0.699293;13.386497  
0.540989;12.881250  
0.415840;12.504941  
0.320259;12.262898  
0.249815;12.135788  
0.199703;12.071081  
0.165240;11.988053  
0.142258;11.802996  
0.127334;11.462146  
0.117852;10.957226  
0.111924;10.314939  
0.108255;9.575575  
0.105996;8.777370  
0.104604;7.950647  
0.103741;7.117976  
0.103202;6.296274  
0.102862;5.498795  
0.102644;4.736449  
0.102505;4.018522  
0.102416;3.352955  
0.102361;2.746367  
0.102332;2.203912  
0.102323;1.729045  
