significant wave height (m);wind speed (m/s)
0.122599;1.978544  
0.122616;1.622190  
0.122667;1.303814  
0.122762;1.025940  
0.122916;0.789693  
0.123153;0.594540  
0.123519;0.438231  
0.124081;0.316985  
0.124955;0.225932  
0.126324;0.159701  
0.128485;0.113010  
0.131910;0.081133  
0.137338;0.060176  
0.145892;0.047191  
0.159234;0.040168  
0.179713;0.038014  
0.210489;0.040559  
0.255556;0.048635  
0.319614;0.064227  
0.407749;0.090578  
0.524951;0.132175  
0.675570;0.194518  
0.862842;0.283743  
1.088589;0.406230  
1.353133;0.568326  
1.655399;0.776240  
1.993135;1.036052  
2.363161;1.353783  
2.761631;1.735440  
3.184237;2.186991  
3.626383;2.714245  
4.083314;3.322638  
4.550210;4.016912  
5.022261;4.800726  
5.494719;5.676186  
5.962943;6.643350  
6.422432;7.699730  
6.868855;8.839836  
7.298082;10.054835  
7.706200;11.332390  
8.089542;12.656749  
8.444704;14.009178  
8.768564;15.368746  
9.058301;16.713473  
9.311410;18.021691  
9.525717;19.273427  
9.699389;20.451533  
9.830948;21.542387  
9.919278;22.536067  
9.963631;23.426091  
9.963631;24.208881  
9.919278;24.883117  
9.830948;25.449110  
9.699389;25.908287  
9.525717;26.262787  
9.311410;26.515176  
9.058301;26.668256  
8.768564;26.724949  
8.444704;26.688228  
8.089542;26.561085  
7.706200;26.346529  
7.298082;26.047595  
6.868855;25.667373  
6.422432;25.209042  
5.962943;24.675924  
5.494719;24.071541  
5.022261;23.399703  
4.550210;22.664597  
4.083314;21.870925  
3.626383;21.024055  
3.184237;20.130223  
2.761631;19.196774  
2.363161;18.232444  
1.993135;17.247661  
1.655399;16.254838  
1.353133;15.268552  
1.088589;14.305478  
0.862842;13.383844  
0.675570;12.522122  
0.524951;11.736688  
0.407749;11.038407  
0.319614;10.428774  
0.255556;9.897297  
0.210489;9.422572  
0.179713;8.978182  
0.159234;8.540810  
0.145892;8.095604  
0.137338;7.636390  
0.131910;7.162713  
0.128485;6.676813  
0.126324;6.181886  
0.124955;5.681459  
0.124081;5.179268  
0.123519;4.679293  
0.123153;4.185785  
0.122916;3.703255  
0.122762;3.236427  
0.122667;2.790153  
0.122616;2.369295  
0.122599;1.978544  
