significant wave height (m);wind speed (m/s)
0.225111;2.083328  
0.225115;1.712419  
0.225128;1.374685  
0.225152;1.075302  
0.225193;0.818066  
0.225260;0.604680  
0.225370;0.434290  
0.225556;0.303501  
0.225875;0.206953  
0.226429;0.138255  
0.227410;0.090965  
0.229158;0.059326  
0.232287;0.038650  
0.237864;0.025388  
0.247689;0.017009  
0.264667;0.011786  
0.293232;0.008586  
0.339694;0.006692  
0.412311;0.005677  
0.520860;0.005318  
0.675630;0.005569  
0.886013;0.006570  
1.159125;0.008738  
1.498901;0.012985  
1.905876;0.021136  
2.377558;0.036663  
2.909103;0.065766  
3.494059;0.118706  
4.124992;0.210990  
4.793954;0.363844  
5.492810;0.603446  
6.213436;0.958749  
6.947850;1.458245  
7.688288;2.126351  
8.427254;2.980176  
9.157546;4.027223  
9.872289;5.264272  
10.564947;6.677419  
11.229349;8.243055  
11.859702;9.929536  
12.450613;11.699292  
12.997106;13.511199  
13.494643;15.323131  
13.939136;17.094583  
14.326970;18.789266  
14.655015;20.377354  
14.920641;21.837003  
15.121728;23.154782  
15.256678;24.324993  
15.324421;25.348173  
15.324421;26.229279  
15.256678;26.976003  
15.121728;27.597442  
14.920641;28.103205  
14.655015;28.502872  
14.326970;28.805730  
13.939136;29.020681  
13.494643;29.156254  
12.997106;29.220675  
12.450613;29.221960  
11.859702;29.168002  
11.229349;29.066648  
10.564947;28.925738  
9.872289;28.753070  
9.157546;28.556276  
8.427254;28.342518  
7.688288;28.117928  
6.947850;27.886635  
6.213436;27.649209  
5.492810;27.400276  
4.793954;27.125168  
4.124992;26.795740  
3.494059;26.366257  
2.909103;25.771713  
2.377558;24.932814  
1.905876;23.772662  
1.498901;22.246580  
1.159125;20.376455  
0.886013;18.269264  
0.675630;16.100064  
0.520860;14.060327  
0.412311;12.297763  
0.339694;10.879282  
0.293232;9.791252  
0.264667;8.968220  
0.247689;8.328839  
0.237864;7.801338  
0.232287;7.333582  
0.229158;6.892481  
0.227410;6.459216  
0.226429;6.024305  
0.225875;5.583917  
0.225556;5.137526  
0.225370;4.686553  
0.225260;4.233632  
0.225193;3.782240  
0.225152;3.336520  
0.225128;2.901209  
0.225115;2.481576  
0.225111;2.083328  
