significant wave height (m);zero-up-crossing period (s)
0.9055026399880131;8.028927003253736
0.9495713232100269;8.076926873174221
0.9956976390968162;8.12437788879029
1.0439619303452576;8.171266616896544
1.0944461131377092;8.217580439976196
1.1472335589772442;8.263307687440411
1.2024089602120158;8.30843777714987
1.2600581783971287;8.352961367133297
1.32026807466511;8.396870517183743
1.3831263213074068;8.44015885987312
1.4487211938099567;8.482821780459828
1.5171413426364113;8.524856604888447
1.5884755441136817;8.566262794987754
1.6628124298467077;8.607042149785617
1.7402401941732295;8.64719901165876
1.8208462792653928;8.68674047588256
1.9047170375935858;8.725676601965857
1.9919373715893278;8.76402062495687
2.0825903504785295;8.801789164803683
2.176756804404098;8.839002431624186
2.2745148961175885;8.875684424656127
2.375939670693386;8.911863122519756
2.48110258390518;8.94757066230459
2.590071010102951;8.98284350493082
2.702907730638624;9.017722584172878
2.819670404108925;9.052253436693835
2.9404110199139564;9.086486310445338
3.0651753368682066;9.120476248803353
3.1940023088455907;9.154283147873219
3.32692349968997;9.187971784468965
3.463962489875818;9.221611812390629
3.6051342776574984;9.25527772474746
3.7504446776984777;9.289048780241266
3.8998897204203966;9.323008891495817
4.053455055554234;9.357246473708702
4.21111536360822;9.391854252113628
4.3728337791878;9.426929026945372
4.538561330306536;9.462571394820618
4.708236398013547;9.49888542565536
4.8817842008254075;9.535978294451095
5.059116308588871;9.573959867474695
5.240130190509607;9.612942242542749
5.424708802159165;9.65303924328706
5.612720216313928;9.694365867428393
5.804017302483604;9.73703768921763
5.998437459950236;9.781170216319481
6.19580240905533;9.826878201514623
6.395918045351344;9.874274909689609
6.598574361053739;9.923471340668291
6.803545438012827;9.97457540853145
7.010589516148862;10.02769107817034
7.219449140973114;10.082917459944323
7.429851393442394;10.140347863466378
7.64150820497607;10.20006881174186
7.854116759990736;10.26215901714185
8.06735998779467;10.326688321021173
8.280907145115757;10.39371659919909
8.494414489953918;10.4632926360338
8.70752604678305;10.535452970424586
8.919874462494816;10.61022071781914
9.131081951739457;10.687604373142324
9.340761329647295;10.767596600563309
9.548517129130055;10.850173017111086
9.548517129130055;10.834658361652854
9.340761329647295;10.62027248115295
9.131081951739457;10.40237784381636
8.919874462494816;10.181653045478107
8.70752604678305;9.958767162650407
8.494414489953918;9.734374960025923
8.280907145115757;9.509112499100794
8.06735998779467;9.283593187562193
7.854116759990736;9.05840429854232
7.64150820497607;8.834103978488175
7.429851393442394;8.611218752315123
7.219449140973114;8.39024152510453
7.010589516148862;8.171630070925254
6.803545438012827;7.955805991670993
6.598574361053739;7.743154122149215
6.395918045351344;7.53402235213702
6.19580240905533;7.328721831742464
5.998437459950236;7.127527523180497
5.804017302483604;6.930679059932995
5.612720216313928;6.73838187315343
5.424708802159165;6.550808544996604
5.240130190509607;6.368100349209247
5.059116308588871;6.19036894067135
4.8817842008254075;6.017698157531116
4.708236398013547;5.8501459019883315
4.538561330306536;5.6877460685457235
4.3728337791878;5.530510491549632
4.21111536360822;5.378430886980716
4.053455055554234;5.231480766642062
3.899889720420408;5.0896173060490755
3.7504446776984777;4.952783150387787
3.6051342776575037;4.8209081458228065
3.463962489875818;4.693910986163903
3.32692349968997;4.571700767411486
3.1940023088455907;4.4541784449764
3.0651753368682066;4.341238190400006
2.9404110199139533;4.232768646182496
2.8196704041089276;4.128654078865556
2.702907730638627;4.028775431818694
2.590071010102951;3.9330112802595547
2.4811025839051806;3.841238691913175
2.375939670693386;3.753333997401152
2.27451489611759;3.6691734749677534
2.176756804404098;3.588633954515048
2.0825903504785312;3.511593346152577
1.991937371589327;3.4379310985867453
1.9047170375935865;3.367528592698682
1.8208462792653943;3.300269475602915
1.7402401941732295;3.2360399403576516
1.6628124298467089;3.174728956324149
1.5884755441136815;3.1162284549593973
1.5171413426364115;3.0604334755841434
1.4487211938099565;3.0072422754051193
1.383126321307407;2.956556407795553
1.3202680746651094;2.908280772556393
1.2600581783971287;2.862323641599072
1.2024089602120165;2.818596663212494
1.1472335589772444;2.7770148478061265
1.0944461131377101;2.737496537760303
1.0439619303452574;2.6999633637659057
0.9956976390968169;2.664340189800118
0.9495713232100267;2.6305550486637768
0.9055026399880135;2.5985390697993833
0.8634129229397164;2.5682264009174407
0.8232252699297717;2.5395541247822155
0.784864617632861;2.512462172346004
0.7482578031625424;2.486893233272988
0.7133336137343252;2.4627926647592826
0.6800228252078663;2.4401083994340067
0.6482582303342789;2.418790853016421
0.6179746575120662;2.39879283230566
0.5891089808298751;2.380069443991408
0.5616001221463905;2.362578004695367
0.5353890459279353;2.346277952583701
0.5104187475329327;2.331130760829002
0.4866342355999377;2.3170998531461118
0.4639825091626033;2.3041505215786047
0.44241253008124026;2.292249846671199
0.4218751913466941;2.2813666201272733
0.40232328177846494;2.2714712700195063
0.3837114476055379;2.2625357885948123
0.36599615138543257;2.254533662691754
0.34913562868479825;2.2474398067692007
0.33308984291349597;2.2412304985285143
0.31782043867376536;2.2358833170978443
0.3032906939567854;2.2313770837357656
0.2894654714908457;2.2276918050022565
0.2763111695184733;2.224808618337495
0.2637956722542633;2.222709739983249
0.25188830025090514;2.2213784151769973
0.24055976087791747;2.2207988705457846
0.2297820990960066;2.2209562686244384
0.21952864868964328;2.2218366644214576
0.20977398410147874;2.2234269639551885
0.2004938729944863;2.2257148846828967
0.19166522965127758;2.228688917745798
0.18326606930477685;2.2323382919540697
0.17527546348036765;2.2366529394370653
0.1676734964166815;2.2416234628855074
0.16044122262031857;2.247241104314135
0.1535606255989594;2.2534977152752185
0.1470145778074501;2.260385728455203
0.14078680183251846;2.2678981305889083
0.13486183283369096;2.2760284366276
0.12922498225075174;2.284770665099333
0.12386230278158862;2.294119314601842
0.11876055462851666;2.3040693413700923
0.11390717300607105;2.314616137862288
0.10929023689878321;2.325755512309705
0.10489843905355774;2.337483669176977
0.10072105718788495;2.3497971904807207
0.09674792639224623;2.3626930179151815
0.09296941270262254;2.3761684357343196
0.08937638781698425;2.3902210543400795
0.08596020492798011;2.4048487945267234
0.08271267564271755;2.420049872330913
0.07962604795950552;2.4358227844366986
0.07669298527069088;2.452166294083829
0.07390654636021707;2.4690794174266544
0.07126016636426302;2.486561410289588
0.06874763866323721;2.504611755263449
0.06636309767350264;2.523230149085179
0.06410100250745529;2.5424164902414965
0.061956121470967324;2.562170866734941
0.05992351736771223;2.582493543948703
0.057998533580493616;2.603384952544699
0.05617678090039918;2.624845676327563
0.05445412507537224;2.646876440005872
0.05282667505062798;2.669478096781071
0.05129077187423338;2.6926516156944023
0.049842978242101765;2.7163980686628624
0.04848006865762436;2.740718617137052
0.0471990201821572;2.7656144983168667
0.045997003753603605;2.7910870108655086
0.0448713760513693;2.8171375000685575
0.04381967188701179;2.8437673423927103
0.04283959710096559;2.8709779294087445
0.041929021946777945;2.898770651054864
0.041085974945352446;2.9271468782303565
0.04030863719275293;2.956107944724682
0.039595337106171746;2.985655128504157
0.038944545593716656;3.0157896323964946
0.03835487163470512;3.0465125642324407
0.0378250582581926;3.077824916523121
0.03735397890848054;3.109727545770758
0.036940634187367344;3.1422211515286724
0.03658414896391032;3.1753062553431266
0.036283769843465666;3.208983179724033
0.036038862988762785;3.2432520273030976
0.03584891228675059;3.2781126603461446
0.03571351785593141;3.3135646807905865
0.03563239488986428;3.349607410979062
0.035605372833486804;3.3862398752559772
0.03563239488986428;3.423460782585019
0.03571351785593141;3.46126851033309
0.03584891228675059;3.4996610893497313
0.036038862988762785;3.538636190451758
0.036283769843465666;3.5781911124010013
0.03658414896391032;3.618322771439857
0.036940634187367385;3.6590276924252807
0.03735397890848054;3.700302001578123
0.03782505825819257;3.74214142084182
0.03835487163470509;3.784541263823286
0.038944545593716656;3.827496433269998
0.039595337106171746;3.871001420021095
0.04030863719275289;3.915050303357163
0.041085974945352446;3.9596367526633727
0.041929021946777875;4.004754030313807
0.04283959710096562;4.050394995680939
0.04381967188701179;4.096552110173065
0.0448713760513693;4.143217443203811
0.045997003753603605;4.190382679001036
0.0471990201821572;4.238039124167325
0.04848006865762436;4.286177715910255
0.049842978242101765;4.334789030867301
0.05129077187423335;4.383863294457296
0.05282667505062798;4.4333903906974355
0.05445412507537227;4.483359872431587
0.05617678090039918;4.5337609719218115
0.057998533580493575;4.584582611760715
0.05992351736771219;4.635813416066725
0.061956121470967324;4.687441721928372
0.06410100250745521;4.739455591066348
0.0663630976735026;4.79184282168415
0.06874763866323708;4.844590960478923
0.07126016636426294;4.897687314784437
0.0739065463602171;4.951118964817354
0.07669298527069088;5.00487277599666
0.07962604795950552;5.058935411304249
0.08271267564271749;5.1132933436521535
0.0859602049279802;5.167932868219345
0.0893763878169842;5.2228401147177355
0.09296941270262236;5.278001059544212
0.09674792639224604;5.333401537771911
0.10072105718788467;5.389027254931228
0.10489843905355774;5.444863798527727
0.10929023689878321;5.500896649241632
0.11390717300607085;5.55711119175133
0.1187605546285166;5.613492725120845
0.12386230278158868;5.670026472691048
0.12922498225075174;5.726697591412171
0.13486183283369096;5.783491180556583
0.1407868018325183;5.840392289750719
0.14701457780744992;5.897385926267206
0.1535606255989594;5.9544570615204035
0.16044122262031862;6.011590636712995
0.16767349641668128;6.068771567585355
0.17527546348036743;6.125984748226176
0.1832660693047769;6.183215053908446
0.19166522965127758;6.240447342926915
0.20049387299448612;6.297666457417741
0.20977398410147852;6.354857223159057
0.219528648689643;6.4120044483568295
0.2297820990960066;6.469092921442634
0.24055976087791758;6.526107407917069
0.2518883002509049;6.583032646297893
0.26379567225426304;6.6398533432487605
0.27631116951847334;6.696554167979395
0.2894654714908457;6.753119746040512
0.303290693956785;6.809534652649614
0.31782043867376514;6.865783405718979
0.33308984291349564;6.921850458773125
0.34913562868479836;6.977720193980136
0.36599615138543257;7.033376915540673
0.3837114476055376;7.088804843717233
0.4023232817784646;7.1439881098085705
0.421875191346694;7.198910752398725
0.4424125300812404;7.253556715260878
0.4639825091626029;7.30790984730847
0.4866342355999371;7.361953905000031
0.5104187475329321;7.415672557686192
0.5353890459279353;7.469049396338384
0.5616001221463907;7.522067946181928
0.5891089808298744;7.574711683749233
0.6179746575120657;7.626964058880204
0.648258230334279;7.678808522233639
0.6800228252078664;7.730228558856592
0.7133336137343245;7.781207728345183
0.7482578031625416;7.831729712199849
0.7848646176328593;7.881778368851074
0.823225269929772;7.93133779689615
0.8634129229397165;7.980392407060333
