significant wave height (m);zero-up-crossing period (s)
0.1;2.35
0.15000000000000002;2.35
0.15000000000000002;2.3000000000000003
0.15000000000000002;2.25
0.15000000000000002;2.2
0.15000000000000002;2.15
0.15000000000000002;2.1
0.15000000000000002;2.0500000000000003
0.15000000000000002;2.0
0.15000000000000002;1.9500000000000002
0.15000000000000002;1.9000000000000001
0.15000000000000002;1.85
0.15000000000000002;1.8
0.2;1.8
0.2;1.75
0.2;1.7000000000000002
0.2;1.6500000000000001
0.25;1.6500000000000001
0.25;1.6
0.25;1.55
0.30000000000000004;1.55
0.35000000000000003;1.55
0.4;1.55
0.45;1.55
0.5;1.55
0.5;1.6
0.55;1.6
0.55;1.6500000000000001
0.6000000000000001;1.6500000000000001
0.65;1.6500000000000001
0.65;1.7000000000000002
0.7000000000000001;1.7000000000000002
0.7000000000000001;1.75
0.75;1.75
0.8;1.75
0.8;1.8
0.8500000000000001;1.8
0.8500000000000001;1.85
0.9;1.85
0.9;1.9000000000000001
0.9500000000000001;1.9000000000000001
1.0;1.9000000000000001
1.0;1.9500000000000002
1.05;1.9500000000000002
1.05;2.0
1.1;2.0
1.1;2.0500000000000003
1.1500000000000001;2.0500000000000003
1.1500000000000001;2.1
1.2000000000000002;2.1
1.25;2.1
1.25;2.15
1.3;2.15
1.3;2.2
1.35;2.2
1.35;2.25
1.4000000000000001;2.25
1.4000000000000001;2.3000000000000003
1.4500000000000002;2.3000000000000003
1.5;2.3000000000000003
1.5;2.35
1.55;2.35
1.55;2.4000000000000004
1.6;2.4000000000000004
1.6;2.45
1.6500000000000001;2.45
1.6500000000000001;2.5
1.7000000000000002;2.5
1.75;2.5
1.75;2.5500000000000003
1.8;2.5500000000000003
1.8;2.6
1.85;2.6
1.85;2.6500000000000004
1.9000000000000001;2.6500000000000004
1.9000000000000001;2.7
1.9500000000000002;2.7
2.0;2.7
2.0;2.75
2.0500000000000003;2.75
2.0500000000000003;2.8000000000000003
2.1;2.8000000000000003
2.1;2.85
2.15;2.85
2.2;2.85
2.2;2.9000000000000004
2.25;2.9000000000000004
2.25;2.95
2.3000000000000003;2.95
2.3000000000000003;3.0
2.35;3.0
2.35;3.0500000000000003
