significant wave height (m);zero-up-crossing period (s)
2.5500000000000003;8.85
2.5;8.85
2.45;8.85
2.45;8.8
2.4000000000000004;8.8
2.35;8.8
2.3000000000000003;8.8
2.25;8.8
2.2;8.8
2.15;8.8
2.15;8.75
2.1;8.75
2.0500000000000003;8.75
2.0;8.75
1.9500000000000002;8.75
1.9500000000000002;8.700000000000001
1.9000000000000001;8.700000000000001
1.85;8.700000000000001
1.8;8.700000000000001
1.75;8.700000000000001
1.75;8.65
1.7000000000000002;8.65
1.6500000000000001;8.65
1.6;8.65
1.6;8.6
1.55;8.6
1.5;8.6
1.4500000000000002;8.6
1.4500000000000002;8.55
1.4000000000000001;8.55
1.35;8.55
1.35;8.5
1.3;8.5
1.25;8.5
1.2000000000000002;8.5
1.2000000000000002;8.450000000000001
1.1500000000000001;8.450000000000001
1.1500000000000001;8.4
1.1;8.4
1.05;8.4
1.05;8.35
1.0;8.35
1.0;8.3
0.9500000000000001;8.3
0.9500000000000001;8.25
0.9;8.25
0.8500000000000001;8.25
0.8500000000000001;8.200000000000001
0.8500000000000001;8.15
0.8;8.15
0.8;8.1
0.75;8.1
0.75;8.05
0.7000000000000001;8.05
0.7000000000000001;8.0
0.65;8.0
0.65;7.95
0.65;7.9
0.6000000000000001;7.9
0.6000000000000001;7.8500000000000005
0.6000000000000001;7.800000000000001
0.55;7.800000000000001
0.55;7.75
0.55;7.7
0.5;7.7
0.5;7.65
0.5;7.6000000000000005
0.45;7.6000000000000005
0.45;7.550000000000001
0.45;7.5
0.45;7.45
0.4;7.45
0.4;7.4
0.4;7.3500000000000005
0.4;7.300000000000001
0.35000000000000003;7.300000000000001
0.35000000000000003;7.25
0.35000000000000003;7.2
0.35000000000000003;7.15
0.35000000000000003;7.1000000000000005
0.30000000000000004;7.1000000000000005
0.30000000000000004;7.050000000000001
0.30000000000000004;7.0
0.30000000000000004;6.95
0.30000000000000004;6.9
0.25;6.9
0.25;6.8500000000000005
0.25;6.800000000000001
0.25;6.75
0.25;6.7
0.25;6.65
0.25;6.6000000000000005
0.2;6.6000000000000005
0.2;6.550000000000001
0.2;6.5
0.2;6.45
0.2;6.4
0.2;6.3500000000000005
0.2;6.300000000000001
0.2;6.25
0.2;6.2
0.15000000000000002;6.2
0.15000000000000002;6.15
0.15000000000000002;6.1000000000000005
0.15000000000000002;6.050000000000001
0.15000000000000002;6.0
0.15000000000000002;5.95
0.15000000000000002;5.9
0.15000000000000002;5.8500000000000005
0.15000000000000002;5.800000000000001
0.15000000000000002;5.75
0.15000000000000002;5.7
0.15000000000000002;5.65
0.1;5.65
0.1;5.6000000000000005
0.1;5.550000000000001
0.1;5.5
0.1;5.45
0.1;5.4
0.1;5.3500000000000005
0.1;5.300000000000001
0.1;5.25
0.1;5.2
0.1;5.15
0.1;5.1000000000000005
0.1;5.050000000000001
0.1;5.0
0.1;4.95
0.1;4.9
0.1;4.8500000000000005
0.1;4.800000000000001
0.1;4.75
0.1;4.7
0.05;4.7
0.05;4.65
0.05;4.6000000000000005
0.05;4.55
0.05;4.5
0.05;4.45
0.05;4.4
0.05;4.3500000000000005
0.05;4.3
0.05;4.25
0.05;4.2
0.05;4.15
0.05;4.1000000000000005
0.05;4.05
0.05;4.0
0.05;3.95
