wind speed (m s$^{-1}$);significant wave height (m)
0.0;1.35
0.0;1.3
0.0;1.25
0.0;1.2000000000000002
0.0;1.1500000000000001
0.0;1.1
0.0;1.05
0.0;1.0
0.0;0.9500000000000001
0.0;0.9
0.0;0.8500000000000001
0.0;0.8
0.0;0.75
0.0;0.7000000000000001
0.0;0.65
0.0;0.6000000000000001
0.0;0.55
0.0;0.5
0.0;0.45
0.0;0.4
0.0;0.35000000000000003
0.0;0.30000000000000004
0.0;0.25
0.0;0.2
0.0;0.15000000000000002
0.0;0.1
0.0;0.05
0.05;0.05
0.1;0.05
0.15000000000000002;0.05
0.15000000000000002;0.0
0.2;0.0
0.25;0.0
0.30000000000000004;0.0
0.35000000000000003;0.0
0.4;0.0
0.45;0.0
0.5;0.0
0.55;0.0
0.6000000000000001;0.0
0.65;0.0
0.7000000000000001;0.0
0.75;0.0
0.8;0.0
0.8500000000000001;0.0
0.9;0.0
0.9500000000000001;0.0
1.0;0.0
1.05;0.0
1.1;0.0
1.1500000000000001;0.0
1.2000000000000002;0.0
1.25;0.0
1.3;0.0
1.35;0.0
1.4000000000000001;0.0
1.4500000000000002;0.0
1.5;0.0
1.55;0.0
1.6;0.0
1.6500000000000001;0.0
1.7000000000000002;0.0
1.75;0.0
1.8;0.0
1.85;0.0
1.9000000000000001;0.0
1.9500000000000002;0.0
2.0;0.0
2.0500000000000003;0.0
2.1;0.0
2.15;0.0
2.2;0.0
2.25;0.0
2.3000000000000003;0.0
2.35;0.0
2.4000000000000004;0.0
2.45;0.0
2.5;0.0
2.5;0.05
2.5500000000000003;0.05
2.6;0.05
2.6500000000000004;0.05
2.7;0.05
2.75;0.05
2.8000000000000003;0.05
2.85;0.05
2.9000000000000004;0.05
2.95;0.05
3.0;0.05
3.0500000000000003;0.05
3.1;0.05
3.1500000000000004;0.05
3.2;0.05
3.25;0.05
3.3000000000000003;0.05
3.35;0.05
3.4000000000000004;0.05
3.45;0.05
3.5;0.05
3.5500000000000003;0.05
3.6;0.05
3.6500000000000004;0.05
3.7;0.05
3.75;0.05
3.8000000000000003;0.05
3.85;0.05
3.9000000000000004;0.05
3.95;0.05
4.0;0.05
4.05;0.05
4.1000000000000005;0.05
4.15;0.05
4.2;0.05
4.25;0.05
4.3;0.05
4.3500000000000005;0.05
4.4;0.05
4.45;0.05
4.5;0.05
4.55;0.05
4.6000000000000005;0.05
4.65;0.05
4.7;0.05
4.75;0.05
4.800000000000001;0.05
4.8500000000000005;0.05
4.9;0.05
4.95;0.05
5.0;0.05
5.050000000000001;0.05
5.1000000000000005;0.05
5.15;0.05
5.2;0.05
5.25;0.05
5.300000000000001;0.05
5.3500000000000005;0.05
5.4;0.05
5.45;0.05
5.5;0.05
5.550000000000001;0.05
5.6000000000000005;0.05
5.65;0.05
5.7;0.05
5.75;0.05
5.75;0.1
5.800000000000001;0.1
5.8500000000000005;0.1
5.9;0.1
5.95;0.1
6.0;0.1
6.050000000000001;0.1
6.1000000000000005;0.1
6.15;0.1
6.2;0.1
6.25;0.1
6.300000000000001;0.1
6.3500000000000005;0.1
6.4;0.1
6.45;0.1
6.5;0.1
6.550000000000001;0.1
6.6000000000000005;0.1
6.65;0.1
6.7;0.1
6.75;0.1
6.800000000000001;0.1
6.8500000000000005;0.1
6.9;0.1
6.95;0.1
7.0;0.1
7.050000000000001;0.1
7.1000000000000005;0.1
7.1000000000000005;0.15000000000000002
7.15;0.15000000000000002
7.2;0.15000000000000002
7.25;0.15000000000000002
7.300000000000001;0.15000000000000002
7.3500000000000005;0.15000000000000002
7.4;0.15000000000000002
7.45;0.15000000000000002
7.5;0.15000000000000002
7.550000000000001;0.15000000000000002
7.6000000000000005;0.15000000000000002
7.65;0.15000000000000002
7.7;0.15000000000000002
7.75;0.15000000000000002
7.800000000000001;0.15000000000000002
7.8500000000000005;0.15000000000000002
7.9;0.15000000000000002
7.95;0.15000000000000002
8.0;0.15000000000000002
8.0;0.2
8.05;0.2
8.1;0.2
8.15;0.2
8.200000000000001;0.2
8.25;0.2
8.3;0.2
8.35;0.2
8.4;0.2
8.450000000000001;0.2
8.5;0.2
8.55;0.2
8.6;0.2
8.65;0.2
8.700000000000001;0.2
8.700000000000001;0.25
8.75;0.25
8.8;0.25
8.85;0.25
8.9;0.25
8.950000000000001;0.25
9.0;0.25
9.05;0.25
9.1;0.25
9.15;0.25
9.200000000000001;0.25
9.25;0.25
9.3;0.25
9.3;0.30000000000000004
9.35;0.30000000000000004
9.4;0.30000000000000004
9.450000000000001;0.30000000000000004
9.5;0.30000000000000004
9.55;0.30000000000000004
9.600000000000001;0.30000000000000004
9.65;0.30000000000000004
9.700000000000001;0.30000000000000004
9.75;0.30000000000000004
9.8;0.30000000000000004
9.850000000000001;0.30000000000000004
9.850000000000001;0.35000000000000003
9.9;0.35000000000000003
9.950000000000001;0.35000000000000003
10.0;0.35000000000000003
10.05;0.35000000000000003
10.100000000000001;0.35000000000000003
10.15;0.35000000000000003
10.200000000000001;0.35000000000000003
10.25;0.35000000000000003
10.3;0.35000000000000003
10.350000000000001;0.35000000000000003
10.350000000000001;0.4
10.4;0.4
10.450000000000001;0.4
10.5;0.4
10.55;0.4
10.600000000000001;0.4
10.65;0.4
10.700000000000001;0.4
10.75;0.4
10.75;0.45
10.8;0.45
10.850000000000001;0.45
10.9;0.45
10.950000000000001;0.45
11.0;0.45
11.05;0.45
11.100000000000001;0.45
11.15;0.45
11.200000000000001;0.45
11.200000000000001;0.5
11.25;0.5
11.3;0.5
11.350000000000001;0.5
11.4;0.5
11.450000000000001;0.5
11.5;0.5
11.55;0.5
11.55;0.55
11.600000000000001;0.55
11.65;0.55
11.700000000000001;0.55
11.75;0.55
11.8;0.55
11.850000000000001;0.55
11.9;0.55
11.950000000000001;0.55
11.950000000000001;0.6000000000000001
12.0;0.6000000000000001
12.05;0.6000000000000001
12.100000000000001;0.6000000000000001
12.15;0.6000000000000001
12.200000000000001;0.6000000000000001
12.25;0.6000000000000001
12.3;0.6000000000000001
12.3;0.65
12.350000000000001;0.65
12.4;0.65
12.450000000000001;0.65
12.5;0.65
12.55;0.65
12.600000000000001;0.65
12.65;0.65
12.65;0.7000000000000001
12.700000000000001;0.7000000000000001
12.75;0.7000000000000001
12.8;0.7000000000000001
12.850000000000001;0.7000000000000001
12.9;0.7000000000000001
12.950000000000001;0.7000000000000001
12.950000000000001;0.75
13.0;0.75
13.05;0.75
13.100000000000001;0.75
13.15;0.75
13.200000000000001;0.75
13.25;0.75
13.25;0.8
13.3;0.8
13.350000000000001;0.8
13.4;0.8
13.450000000000001;0.8
13.5;0.8
13.55;0.8
13.600000000000001;0.8
13.600000000000001;0.8500000000000001
13.65;0.8500000000000001
13.700000000000001;0.8500000000000001
13.75;0.8500000000000001
13.8;0.8500000000000001
13.850000000000001;0.8500000000000001
13.9;0.8500000000000001
13.9;0.9
13.950000000000001;0.9
14.0;0.9
14.05;0.9
14.100000000000001;0.9
14.15;0.9
14.15;0.9500000000000001
14.200000000000001;0.9500000000000001
14.25;0.9500000000000001
14.3;0.9500000000000001
14.350000000000001;0.9500000000000001
14.4;0.9500000000000001
14.450000000000001;0.9500000000000001
14.450000000000001;1.0
14.5;1.0
14.55;1.0
14.600000000000001;1.0
14.65;1.0
14.700000000000001;1.0
14.700000000000001;1.05
14.75;1.05
14.8;1.05
14.850000000000001;1.05
14.9;1.05
14.950000000000001;1.05
15.0;1.05
15.0;1.1
15.05;1.1
15.100000000000001;1.1
15.15;1.1
15.200000000000001;1.1
15.25;1.1
15.25;1.1500000000000001
15.3;1.1500000000000001
15.350000000000001;1.1500000000000001
15.4;1.1500000000000001
15.450000000000001;1.1500000000000001
15.5;1.1500000000000001
15.5;1.2000000000000002
15.55;1.2000000000000002
15.600000000000001;1.2000000000000002
15.65;1.2000000000000002
15.700000000000001;1.2000000000000002
15.75;1.2000000000000002
15.75;1.25
15.8;1.25
15.850000000000001;1.25
15.9;1.25
15.950000000000001;1.25
16.0;1.25
16.0;1.3
16.05;1.3
16.1;1.3
16.150000000000002;1.3
16.2;1.3
16.2;1.35
16.25;1.35
16.3;1.35
16.35;1.35
16.400000000000002;1.35
16.45;1.35
16.45;1.4000000000000001
16.5;1.4000000000000001
16.55;1.4000000000000001
16.6;1.4000000000000001
16.650000000000002;1.4000000000000001
16.650000000000002;1.4500000000000002
16.7;1.4500000000000002
16.75;1.4500000000000002
16.8;1.4500000000000002
16.85;1.4500000000000002
16.900000000000002;1.4500000000000002
16.900000000000002;1.5
16.95;1.5
17.0;1.5
17.05;1.5
17.1;1.5
17.1;1.55
17.150000000000002;1.55
17.2;1.55
17.25;1.55
17.3;1.55
17.3;1.6
17.35;1.6
17.400000000000002;1.6
17.45;1.6
17.5;1.6
17.5;1.6500000000000001
17.55;1.6500000000000001
17.6;1.6500000000000001
17.650000000000002;1.6500000000000001
17.7;1.6500000000000001
17.7;1.7000000000000002
17.75;1.7000000000000002
17.8;1.7000000000000002
17.85;1.7000000000000002
17.900000000000002;1.7000000000000002
17.900000000000002;1.75
17.95;1.75
18.0;1.75
18.05;1.75
18.1;1.75
18.1;1.8
18.150000000000002;1.8
18.2;1.8
18.25;1.8
18.3;1.8
18.3;1.85
18.35;1.85
18.400000000000002;1.85
