wind speed (m s$^{-1}$);significant wave height (m)
0.0;0.45
0.0;0.4
0.0;0.35000000000000003
0.0;0.30000000000000004
0.0;0.25
0.0;0.2
0.0;0.15000000000000002
0.0;0.1
0.0;0.05
0.0;0.0
0.05;0.0
0.1;0.0
0.15000000000000002;0.0
0.2;0.0
0.25;0.0
0.30000000000000004;0.0
0.35000000000000003;0.0
0.4;0.0
0.45;0.0
0.5;0.0
0.55;0.0
0.6000000000000001;0.0
0.65;0.0
0.7000000000000001;0.0
0.75;0.0
0.8;0.0
0.8500000000000001;0.0
0.9;0.0
0.9500000000000001;0.0
1.0;0.0
1.05;0.0
1.1;0.0
1.1500000000000001;0.0
1.2000000000000002;0.0
1.25;0.0
1.3;0.0
1.35;0.0
1.4000000000000001;0.0
1.4500000000000002;0.0
1.5;0.0
1.55;0.0
1.6;0.0
1.6500000000000001;0.0
1.7000000000000002;0.0
1.75;0.0
1.8;0.0
1.85;0.0
1.9000000000000001;0.0
1.9500000000000002;0.0
2.0;0.0
2.0500000000000003;0.0
2.1;0.0
2.15;0.0
2.2;0.0
2.25;0.0
2.3000000000000003;0.0
2.35;0.0
2.4000000000000004;0.0
2.45;0.0
2.5;0.0
2.5500000000000003;0.0
2.6;0.0
2.6500000000000004;0.0
2.7;0.0
2.75;0.0
2.8000000000000003;0.0
2.85;0.0
2.9000000000000004;0.0
2.95;0.0
3.0;0.0
3.0500000000000003;0.0
3.1;0.0
3.1500000000000004;0.0
3.2;0.0
3.25;0.0
3.3000000000000003;0.0
3.35;0.0
3.4000000000000004;0.0
3.45;0.0
3.5;0.0
3.5500000000000003;0.0
3.6;0.0
3.6500000000000004;0.0
3.7;0.0
3.75;0.0
3.8000000000000003;0.0
3.85;0.0
3.9000000000000004;0.0
3.95;0.0
4.0;0.0
4.05;0.0
4.1000000000000005;0.0
4.15;0.0
4.2;0.0
4.25;0.0
4.3;0.0
4.3500000000000005;0.0
4.4;0.0
4.4;0.05
4.45;0.05
4.5;0.05
4.55;0.05
4.6000000000000005;0.05
4.65;0.05
4.7;0.05
4.75;0.05
4.800000000000001;0.05
4.8500000000000005;0.05
4.9;0.05
4.95;0.05
5.0;0.05
5.050000000000001;0.05
5.1000000000000005;0.05
5.15;0.05
5.2;0.05
5.25;0.05
5.300000000000001;0.05
5.3500000000000005;0.05
5.4;0.05
5.45;0.05
5.5;0.05
5.550000000000001;0.05
5.6000000000000005;0.05
5.65;0.05
5.7;0.05
5.75;0.05
5.800000000000001;0.05
5.8500000000000005;0.05
5.9;0.05
5.95;0.05
6.0;0.05
6.050000000000001;0.05
6.1000000000000005;0.05
6.15;0.05
6.2;0.05
6.25;0.05
6.300000000000001;0.05
6.3500000000000005;0.05
6.4;0.05
6.45;0.05
6.5;0.05
6.550000000000001;0.05
6.6000000000000005;0.05
6.65;0.05
6.7;0.05
6.75;0.05
6.800000000000001;0.05
6.8500000000000005;0.05
6.9;0.05
6.95;0.05
7.0;0.05
7.050000000000001;0.05
7.1000000000000005;0.05
7.15;0.05
7.2;0.05
7.25;0.05
7.300000000000001;0.05
7.3500000000000005;0.05
7.4;0.05
7.45;0.05
7.5;0.05
7.550000000000001;0.05
7.6000000000000005;0.05
7.65;0.05
7.7;0.05
7.75;0.05
7.800000000000001;0.05
7.8500000000000005;0.05
7.9;0.05
7.95;0.05
8.0;0.05
8.0;0.1
8.05;0.1
8.1;0.1
8.15;0.1
8.200000000000001;0.1
8.25;0.1
8.3;0.1
8.35;0.1
8.4;0.1
8.450000000000001;0.1
8.5;0.1
8.55;0.1
8.6;0.1
8.65;0.1
8.700000000000001;0.1
8.75;0.1
8.8;0.1
8.85;0.1
8.9;0.1
8.950000000000001;0.1
9.0;0.1
9.05;0.1
9.1;0.1
9.15;0.1
9.200000000000001;0.1
9.25;0.1
9.3;0.1
9.35;0.1
9.4;0.1
9.450000000000001;0.1
9.5;0.1
9.55;0.1
9.600000000000001;0.1
9.65;0.1
9.65;0.15000000000000002
9.700000000000001;0.15000000000000002
9.75;0.15000000000000002
9.8;0.15000000000000002
9.850000000000001;0.15000000000000002
9.9;0.15000000000000002
9.950000000000001;0.15000000000000002
10.0;0.15000000000000002
10.05;0.15000000000000002
10.100000000000001;0.15000000000000002
10.15;0.15000000000000002
10.200000000000001;0.15000000000000002
10.25;0.15000000000000002
10.3;0.15000000000000002
10.350000000000001;0.15000000000000002
10.4;0.15000000000000002
10.450000000000001;0.15000000000000002
10.5;0.15000000000000002
10.55;0.15000000000000002
10.600000000000001;0.15000000000000002
10.65;0.15000000000000002
10.700000000000001;0.15000000000000002
10.75;0.15000000000000002
10.75;0.2
10.8;0.2
10.850000000000001;0.2
10.9;0.2
10.950000000000001;0.2
11.0;0.2
11.05;0.2
11.100000000000001;0.2
11.15;0.2
11.200000000000001;0.2
11.25;0.2
11.3;0.2
11.350000000000001;0.2
11.4;0.2
11.450000000000001;0.2
11.5;0.2
11.55;0.2
11.600000000000001;0.2
11.600000000000001;0.25
11.65;0.25
11.700000000000001;0.25
11.75;0.25
11.8;0.25
11.850000000000001;0.25
11.9;0.25
11.950000000000001;0.25
12.0;0.25
12.05;0.25
12.100000000000001;0.25
12.15;0.25
12.200000000000001;0.25
12.25;0.25
12.3;0.25
12.3;0.30000000000000004
12.350000000000001;0.30000000000000004
12.4;0.30000000000000004
12.450000000000001;0.30000000000000004
12.5;0.30000000000000004
12.55;0.30000000000000004
12.600000000000001;0.30000000000000004
12.65;0.30000000000000004
12.700000000000001;0.30000000000000004
12.75;0.30000000000000004
12.8;0.30000000000000004
12.850000000000001;0.30000000000000004
12.9;0.30000000000000004
12.950000000000001;0.30000000000000004
12.950000000000001;0.35000000000000003
13.0;0.35000000000000003
13.05;0.35000000000000003
13.100000000000001;0.35000000000000003
13.15;0.35000000000000003
13.200000000000001;0.35000000000000003
13.25;0.35000000000000003
13.3;0.35000000000000003
13.350000000000001;0.35000000000000003
13.4;0.35000000000000003
13.450000000000001;0.35000000000000003
13.450000000000001;0.4
13.5;0.4
13.55;0.4
13.600000000000001;0.4
13.65;0.4
13.700000000000001;0.4
13.75;0.4
13.8;0.4
13.850000000000001;0.4
13.9;0.4
13.950000000000001;0.4
13.950000000000001;0.45
14.0;0.45
14.05;0.45
14.100000000000001;0.45
14.15;0.45
14.200000000000001;0.45
14.25;0.45
14.3;0.45
14.350000000000001;0.45
14.4;0.45
14.4;0.5
14.450000000000001;0.5
14.5;0.5
14.55;0.5
14.600000000000001;0.5
14.65;0.5
14.700000000000001;0.5
14.75;0.5
14.8;0.5
14.850000000000001;0.5
14.850000000000001;0.55
14.9;0.55
14.950000000000001;0.55
15.0;0.55
15.05;0.55
15.100000000000001;0.55
15.15;0.55
15.200000000000001;0.55
15.200000000000001;0.6000000000000001
15.25;0.6000000000000001
15.3;0.6000000000000001
15.350000000000001;0.6000000000000001
15.4;0.6000000000000001
15.450000000000001;0.6000000000000001
15.5;0.6000000000000001
15.55;0.6000000000000001
15.600000000000001;0.6000000000000001
15.600000000000001;0.65
15.65;0.65
15.700000000000001;0.65
15.75;0.65
15.8;0.65
15.850000000000001;0.65
15.9;0.65
15.950000000000001;0.65
15.950000000000001;0.7000000000000001
16.0;0.7000000000000001
16.05;0.7000000000000001
16.1;0.7000000000000001
16.150000000000002;0.7000000000000001
16.2;0.7000000000000001
16.25;0.7000000000000001
16.25;0.75
