significant wave height [m];zero-upcrossing period [s]
2.4014;4.5509
2.4243;4.5728
2.4467;4.5943
2.4684;4.6152
2.4896;4.6358
2.5103;4.6558
2.5302;4.6754
2.5495;4.6944
2.5681;4.7128
2.5863;4.731
2.604;4.7488
2.6211;4.7663
2.6375;4.7834
2.6534;4.8002
2.6688;4.8168
2.6842;4.8336
2.6997;4.8509
2.717;4.8702
2.7407;4.8954
2.7798;4.935
3.0522;5.1767
3.3549;5.434
3.6735;5.6941
3.9979;5.9497
4.3161;6.1931
4.3981;6.2647
4.4605;6.324
4.7905;6.5717
5.1918;6.8631
5.6227;7.1678
6.066;7.4745
6.4991;7.7696
6.6234;7.8776
6.6327;7.9168
6.561;7.9061
6.4369;7.8614
6.3725;7.8511
6.4268;7.9131
6.5734;8.0315
6.8016;8.1987
7.0884;8.3994
7.3303;8.5716
7.4772;8.6882
7.5628;8.7699
7.6033;8.8269
7.61;8.8658
7.5898;8.8903
7.5477;8.9028
7.4945;8.9093
7.444;8.9178
7.4042;8.9333
7.3774;8.9577
7.3697;8.9953
7.3778;9.0445
7.3905;9.0987
7.3952;9.1505
7.3832;9.1947
7.3475;9.2275
7.2971;9.2543
7.2373;9.2788
7.1643;9.2987
7.0896;9.3216
7.046;9.3694
7.0232;9.4358
7.0089;9.5133
6.9988;9.5995
6.9657;9.6762
6.8803;9.7221
6.7552;9.7448
6.5999;9.7501
6.4229;9.7427
6.2333;9.7282
6.067;9.7344
5.9201;9.76
5.7893;9.8034
5.6876;9.8769
5.6511;10.015
5.6208;10.169
5.5676;10.313
5.559;10.51
5.5641;10.735
5.5075;10.915
5.4059;11.062
5.266;11.181
5.0658;11.241
4.8459;11.281
4.6336;11.327
4.4258;11.376
4.2495;11.462
4.0788;11.551
3.8996;11.622
3.7344;11.707
3.5958;11.827
3.4697;11.965
3.3488;12.108
3.2355;12.261
3.1339;12.43
3.0436;12.613
2.9675;12.818
2.902;13.04
2.8426;13.271
2.7819;13.499
2.7151;13.712
2.6374;13.9
2.5482;14.059
2.4474;14.186
2.3373;14.283
2.2202;14.354
2.0992;14.402
1.9773;14.435
1.8576;14.461
1.7417;14.483
1.6302;14.503
1.5231;14.518
1.4203;14.524
1.3218;14.521
1.2278;14.508
1.1384;14.486
1.0537;14.456
0.97343;14.418
0.89729;14.373
0.82502;14.321
0.75637;14.262
0.69096;14.194
0.62877;14.119
0.56957;14.036
0.51336;13.945
0.46007;13.846
0.40985;13.742
0.36256;13.631
0.31824;13.516
0.27704;13.395
0.2387;13.27
0.20307;13.141
0.17039;13.008
0.14088;12.873
0.11463;12.737
0.091875;12.602
0.072699;12.466
0.056807;12.332
0.043779;12.199
0.033173;12.068
0.024583;11.941
0.017643;11.819
0.012043;11.702
0.0075246;11.589
0.0038802;11.481
0.00094017;11.375
0;11.271
0;11.168
0;11.067
0;10.964
0;10.859
0;10.752
0;10.642
0;10.528
0;10.409
0;10.285
0;10.156
0;10.022
0;9.8849
0;9.7443
0;9.6015
0;9.4578
0;9.3145
0;9.1739
0;9.0383
0;8.9099
0;8.7902
0;8.6808
0;8.5805
0;8.489
0;8.4047
0;8.3265
0;8.2521
0;8.1819
0;8.114
0;8.0486
0;7.9849
0;7.9226
0;7.8612
0;7.8007
0;7.7405
0;7.681
0;7.6214
0;7.562
0;7.5025
0;7.4431
0;7.3835
0;7.324
0;7.2647
0;7.2051
0;7.1457
0;7.0861
0;7.0267
0;6.9674
0;6.9082
0;6.8494
0;6.7904
0;6.732
0;6.6737
0;6.6158
0;6.5586
0;6.5018
0;6.4455
0;6.3903
0;6.3354
0;6.281
0;6.2279
0.00027704;6.1748
0.0011036;6.1226
0.0020651;6.0712
0.0031866;6.0193
0.0045004;5.9693
0.0060389;5.9184
0.0078398;5.8667
0.0099371;5.8118
0.01235;5.7499
0.015077;5.6771
0.018125;5.5972
0.021436;5.5083
0.024923;5.4146
0.02847;5.3173
0.032062;5.2216
0.035629;5.1269
0.039188;5.0381
0.042664;4.9488
0.046175;4.8647
0.049671;4.784
0.053086;4.7034
0.056343;4.6197
0.059503;4.5365
0.062435;4.4491
0.065164;4.359
0.067742;4.2682
0.070106;4.1747
0.072463;4.0846
0.074666;3.9932
0.076835;3.9036
0.078706;3.8089
0.080351;3.7115
0.081561;3.6071
0.082761;3.5061
0.083667;3.4026
0.084684;3.3055
0.085872;3.2159
0.0872;3.1331
0.088647;3.0564
0.09015;2.9846
0.091634;2.916
0.092872;2.8472
0.09392;2.779
0.094422;2.7063
0.094399;2.6297
0.092646;2.533
0.089421;2.4202
0.085698;2.3043
0.081972;2.1916
0.078672;2.087
0.076778;2.0033
0.076061;1.9364
0.076408;1.8841
0.076559;1.8307
0.075729;1.7676
0.074918;1.7072
0.075745;1.6673
0.077637;1.6399
0.08162;1.634
0.087461;1.6444
0.094089;1.6587
0.098712;1.6532
0.10017;1.6219
0.10035;1.5822
0.10101;1.5485
0.10185;1.5184
0.10249;1.489
0.10638;1.4843
0.11204;1.4921
0.11811;1.5021
0.12334;1.5064
0.12998;1.5189
0.13628;1.5289
0.14114;1.5307
0.14567;1.531
0.15443;1.553
0.16537;1.5845
0.17527;1.6094
0.18384;1.6273
0.18736;1.6229
0.18636;1.6
0.18539;1.5786
0.18785;1.5727
0.1959;1.5905
0.21433;1.6484
0.23945;1.7272
0.26471;1.8012
0.28705;1.8613
0.30593;1.9077
0.32162;1.9428
0.33599;1.9732
0.35414;2.0137
0.37319;2.0556
0.39017;2.0906
0.40334;2.1147
0.41319;2.1299
0.4195;2.1361
0.42575;2.1422
0.43218;2.1487
0.43844;2.1549
0.44511;2.162
0.45391;2.1741
0.46515;2.1919
0.4774;2.2118
0.48811;2.228
0.49505;2.2355
0.49707;2.2321
0.49757;2.2253
0.50281;2.2292
0.52396;2.2675
0.57529;2.3675
0.6453;2.4984
0.72972;2.6469
0.83428;2.8193
0.97001;3.0276
1.1011;3.2119
1.2196;3.3658
1.3236;3.4915
1.4037;3.5814
1.4389;3.6131
1.4523;3.6184
1.469;3.6292
1.4941;3.6513
1.5236;3.6795
1.5565;3.7123
1.5921;3.7486
1.6286;3.786
1.6645;3.8229
1.7001;3.8594
1.7348;3.8948
1.7695;3.9303
1.8043;3.9657
