significant wave height [m];zero-upcrossing period [s]
5.0835;6.3186
5.138;6.353
5.1883;6.3849
5.235;6.4147
5.2789;6.4429
5.3203;6.4699
5.3593;6.4956
5.3949;6.5197
5.4272;6.542
5.4555;6.5625
5.4792;6.5807
5.4976;6.5964
5.5104;6.6096
5.5153;6.6189
5.5235;6.6316
5.5404;6.6509
5.584;6.6876
5.6496;6.7387
5.736;6.803
5.8266;6.8701
5.9155;6.9361
5.9836;6.9899
6.0373;7.0352
6.0825;7.0758
6.1307;7.1186
6.195;7.1713
6.2952;7.2451
6.4679;7.3605
6.7155;7.5172
7.0216;7.7044
7.3674;7.9101
7.7521;8.1331
8.1575;8.3633
8.5783;8.5981
9.0249;8.8427
9.49;9.0935
9.9589;9.3433
10.391;9.5737
10.779;9.7828
11.116;9.9682
11.399;10.131
11.603;10.26
11.716;10.352
11.76;10.417
11.789;10.479
11.828;10.548
11.871;10.621
11.902;10.689
11.855;10.723
11.677;10.697
11.392;10.622
11.07;10.528
10.772;10.442
10.558;10.395
10.433;10.393
10.331;10.403
10.193;10.397
10.029;10.378
9.8682;10.361
9.758;10.372
9.732;10.429
9.7685;10.523
9.8372;10.638
9.8984;10.752
9.8692;10.82
9.6665;10.795
9.3347;10.697
8.9791;10.582
8.6477;10.478
8.3654;10.401
8.1898;10.39
8.1094;10.443
8.0202;10.493
7.8557;10.498
7.6627;10.487
7.5537;10.538
7.5561;10.673
7.5732;10.828
7.5378;10.954
7.4673;11.063
7.3848;11.173
7.315;11.301
7.3146;11.493
7.3922;11.76
7.4616;12.035
7.4143;12.229
7.2369;12.327
6.9811;12.362
6.7518;12.422
6.6173;12.574
6.5701;12.817
6.575;13.125
6.6012;13.468
6.6016;13.798
6.5325;14.066
6.4099;14.284
6.2524;14.468
6.0739;14.63
5.8792;14.774
5.6781;14.907
5.4752;15.031
5.2736;15.146
5.0873;15.267
4.9134;15.393
4.7388;15.502
4.5424;15.557
4.3138;15.538
4.0601;15.448
3.7971;15.313
3.5391;15.156
3.2948;14.996
3.0683;14.842
2.8587;14.696
2.6675;14.564
2.4958;14.453
2.3433;14.367
2.2061;14.3
2.0801;14.242
1.9624;14.186
1.8512;14.128
1.7452;14.063
1.6438;13.988
1.5457;13.9
1.4502;13.795
1.3574;13.672
1.2668;13.527
1.1785;13.361
1.0931;13.175
1.0108;12.972
0.93199;12.753
0.85749;12.524
0.78765;12.289
0.72261;12.053
0.66248;11.818
0.60756;11.592
0.55719;11.372
0.51085;11.159
0.46817;10.95
0.42919;10.749
0.39328;10.554
0.36048;10.368
0.33076;10.196
0.30407;10.039
0.2799;9.8969
0.25791;9.7667
0.23785;9.6479
0.21946;9.5391
0.20248;9.4376
0.18689;9.3443
0.17258;9.2587
0.15944;9.1808
0.14724;9.1079
0.13594;9.0424
0.12531;8.9795
0.11544;8.9204
0.10631;8.8633
0.097862;8.8083
0.089921;8.7549
0.08243;8.7035
0.075318;8.6523
0.068591;8.6027
0.062346;8.5546
0.056675;8.5057
0.05164;8.4579
0.047218;8.4113
0.04334;8.3637
0.039974;8.3171
0.037064;8.2714
0.034539;8.2249
0.032368;8.1792
0.030509;8.1343
0.028914;8.0889
0.027559;8.0439
0.026422;7.9997
0.025473;7.9552
0.024696;7.9107
0.02408;7.8668
0.023611;7.8228
0.023281;7.7789
0.023085;7.7352
0.023019;7.6915
0.023082;7.6479
0.023271;7.6036
0.023591;7.5591
0.024051;7.5145
0.02465;7.4687
0.0254;7.4221
0.026321;7.3757
0.027414;7.3276
0.028698;7.2783
0.030199;7.229
0.031922;7.1779
0.033887;7.1257
0.036112;7.0728
0.038589;7.0185
0.041311;6.9636
0.044215;6.907
0.047202;6.8496
0.050164;6.7896
0.0531;6.7277
0.055962;6.6609
0.05881;6.5921
0.061617;6.5173
0.064472;6.4407
0.067259;6.3604
0.069963;6.2783
0.072566;6.1937
0.075116;6.1082
0.077639;6.0228
0.080165;5.9383
0.082738;5.857
0.0853;5.7778
0.087929;5.7027
0.090559;5.6294
0.093301;5.5611
0.096032;5.4937
0.098878;5.4301
0.10169;5.3665
0.10456;5.3053
0.10735;5.2433
0.11002;5.1786
0.11241;5.1081
0.11467;5.0361
0.1162;4.9497
0.11681;4.8459
0.11674;4.7311
0.11605;4.6073
0.11477;4.4751
0.11366;4.3499
0.11297;4.2356
0.11256;4.1292
0.11261;4.0331
0.113;3.9446
0.11348;3.8589
0.11414;3.7773
0.11485;3.6976
0.11567;3.6202
0.11616;3.5389
0.11642;3.4553
0.11642;3.3693
0.11608;3.2802
0.11554;3.1902
0.11518;3.1048
0.11534;3.0284
0.11571;2.9567
0.11693;2.8974
0.11875;2.8469
0.12099;2.8023
0.12253;2.7507
0.12304;2.6893
0.12215;2.6146
0.12007;2.5293
0.11731;2.439
0.11505;2.3554
0.11435;2.289
0.11505;2.237
0.11639;2.1916
0.11791;2.1482
0.11874;2.0996
0.12017;2.0579
0.12364;2.0345
0.12868;2.0239
0.13514;2.0232
0.14366;2.0354
0.15281;2.0491
0.16072;2.052
0.16786;2.0487
0.17393;2.0385
0.17832;2.0187
0.18057;1.9881
0.18095;1.9492
0.18196;1.9158
0.18531;1.8966
0.19102;1.8904
0.19958;1.8985
0.2133;1.9297
0.228;1.9632
0.24344;1.9975
0.26225;2.0431
