significant wave height [m];zero-upcrossing period [s]
2.3781;3.897
2.4317;3.9432
2.4792;3.9847
2.5192;4.0205
2.5506;4.0496
2.5743;4.0731
2.5919;4.0922
2.6053;4.1083
2.618;4.1242
2.6329;4.1424
2.6536;4.1655
2.6838;4.1964
2.729;4.2394
2.7884;4.2938
2.8523;4.3523
2.9099;4.4069
2.9596;4.4564
3.0152;4.511
3.0852;4.5769
3.1715;4.6552
3.2715;4.744
3.3383;4.8096
3.3708;4.8517
3.3946;4.8885
3.4221;4.9287
3.4594;4.9772
3.5094;5.0375
3.5592;5.1002
3.6064;5.1637
3.727;5.2826
3.6998;5.2989
3.6916;5.3302
3.724;5.3926
3.8315;5.5111
4.011;5.6822
4.2507;5.8943
4.5122;6.1183
4.7576;6.3289
4.9963;6.5332
5.1953;6.7099
5.5737;6.9995
5.9983;7.313
6.4209;7.6201
6.7567;7.8734
6.9816;8.063
7.0901;8.1881
7.1365;8.2799
7.2107;8.3897
7.3039;8.5127
7.3518;8.6112
7.3429;8.678
7.274;8.7106
7.1794;8.7287
7.0928;8.7523
7.023;8.7866
6.9825;8.8397
6.9539;8.9011
6.8936;8.9428
6.8081;8.9685
6.7297;8.9991
6.6744;9.0461
6.642;9.11
6.6167;9.1801
6.59;9.251
6.5703;9.3289
6.559;9.4151
6.5569;9.5104
6.5564;9.6095
6.5378;9.6979
6.4825;9.761
6.3943;9.8007
6.2894;9.8283
6.1674;9.843
6.0161;9.8335
5.8383;9.8003
5.6589;9.7629
5.4901;9.7316
5.3245;9.7007
5.1615;9.6694
5.0047;9.6412
4.8529;9.615
4.6994;9.5843
4.5422;9.5466
4.3872;9.5077
4.2363;9.4696
4.0761;9.4172
3.9057;9.348
3.7404;9.2793
3.588;9.2213
3.4442;9.1697
3.3016;9.1152
3.1594;9.0563
3.0183;8.9941
2.876;8.9245
2.7314;8.8447
2.5841;8.7527
2.4344;8.6471
2.2816;8.5248
2.1286;8.3886
1.9793;8.2448
1.8372;8.0999
1.703;7.956
1.5765;7.8132
1.4608;7.6796
1.3579;7.5634
1.2677;7.4678
1.1853;7.3816
1.1074;7.2963
1.0319;7.2051
0.9585;7.1054
0.88889;7.0031
0.82475;6.9048
0.76779;6.8191
0.718;6.7489
0.67427;6.6922
0.63547;6.6462
0.601;6.6098
0.57015;6.5812
0.54255;6.5595
0.51797;6.545
0.49552;6.5334
0.47484;6.5233
0.45546;6.5127
0.43722;6.5012
0.41997;6.4885
0.40369;6.4753
0.38836;6.4622
0.37389;6.4492
0.36022;6.4362
0.34728;6.4234
0.33506;6.411
0.32341;6.3984
0.31232;6.3856
0.30166;6.3717
0.29143;6.357
0.28164;6.3418
0.27216;6.325
0.26297;6.3066
0.25409;6.2867
0.24546;6.2649
0.23713;6.242
0.22912;6.2185
0.22144;6.1946
0.21408;6.1702
0.20699;6.1452
0.20016;6.1192
0.19362;6.093
0.18736;6.0668
0.18137;6.0407
0.17565;6.0146
0.17016;5.9879
0.16493;5.9613
0.15995;5.9349
0.15521;5.9087
0.15069;5.8826
0.14637;5.8565
0.14224;5.8299
0.13831;5.8031
0.13457;5.7764
0.13101;5.7496
0.12764;5.7228
0.12441;5.6952
0.12134;5.6671
0.11842;5.6385
0.11565;5.6094
0.11305;5.5801
0.1106;5.5504
0.10828;5.52
0.10609;5.489
0.10404;5.4575
0.10212;5.4256
0.10032;5.393
0.098628;5.3597
0.097043;5.3257
0.095555;5.2909
0.094164;5.2553
0.092862;5.2189
0.091646;5.1816
0.090505;5.1432
0.089441;5.104
0.088458;5.0641
0.087534;5.0231
0.086671;4.9811
0.085876;4.9383
0.085128;4.8945
0.084434;4.8497
0.083797;4.8042
0.083193;4.7576
0.082641;4.7104
0.082141;4.6628
0.081662;4.6141
0.081239;4.5655
0.080864;4.517
0.08051;4.468
0.080219;4.4196
0.079989;4.3718
0.079782;4.3237
0.079642;4.2766
0.079568;4.2306
0.079511;4.1844
0.079507;4.139
0.079563;4.0945
0.079642;4.0499
0.079759;4.0058
0.079915;3.9622
0.08009;3.9188
0.080277;3.8753
0.080484;3.8319
0.080699;3.7883
0.080913;3.7445
0.081134;3.7005
0.081348;3.656
0.081524;3.6105
0.081699;3.5648
0.081844;3.5183
0.081924;3.4702
0.082014;3.4222
0.082054;3.3731
0.08204;3.3228
0.082074;3.2734
0.082092;3.2236
0.082116;3.1738
0.08225;3.126
0.082498;3.0801
0.082828;3.0354
0.083332;2.9934
0.083997;2.9537
0.084864;2.9167
0.085929;2.8821
0.087061;2.8474
0.088291;2.8129
0.089586;2.778
0.09078;2.74
0.091894;2.6996
0.092978;2.6576
0.094037;2.6146
0.09507;2.5707
0.096045;2.5257
0.096827;2.4784
0.09768;2.4323
0.09875;2.3892
0.10008;2.3499
0.10173;2.3148
0.10303;2.2767
0.1038;2.2339
0.10398;2.1864
0.10389;2.1379
0.10403;2.0934
0.10486;2.0576
0.10592;2.0252
0.10643;1.9889
0.10617;1.9472
0.1056;1.9044
0.10555;1.868
0.10614;1.8387
0.10724;1.8149
0.10877;1.7957
0.11037;1.778
0.11133;1.7559
0.11141;1.728
0.11119;1.6989
0.11153;1.6754
0.11279;1.6594
0.11457;1.6478
0.11636;1.6367
0.11859;1.6289
0.12135;1.6249
0.12443;1.6229
0.12857;1.6276
0.13391;1.6392
0.13992;1.6538
0.14579;1.6665
0.15028;1.6707
0.15441;1.6724
0.15919;1.6773
0.16324;1.6781
0.16651;1.6747
0.16973;1.671
0.17354;1.6701
0.1803;1.683
0.19164;1.7156
0.20605;1.7593
0.22126;1.8033
0.23616;1.8432
0.25116;1.8808
0.26742;1.9206
0.2843;1.9602
0.30204;2.0002
0.32034;2.0396
0.33402;2.0626
0.3399;2.0608
0.34218;2.0482
0.34674;2.0427
0.35483;2.0474
0.36476;2.0571
0.37666;2.0716
0.39001;2.0892
0.40213;2.1025
0.41091;2.1066
0.42027;2.1119
0.4357;2.1318
0.45311;2.1557
0.47051;2.1785
0.493;2.2116
0.52076;2.2546
0.546;2.2902
0.57128;2.3242
0.59929;2.3623
0.62933;2.4029
0.65941;2.442
0.68735;2.4755
0.72021;2.5161
0.75453;2.5571
0.78218;2.5849
0.79799;2.592
0.81864;2.6061
0.83957;2.6196
0.86256;2.635
0.89327;2.661
0.92835;2.6924
0.96693;2.7279
1.002;2.7576
1.0307;2.778
1.056;2.7942
1.0855;2.8166
1.1101;2.8333
1.1316;2.8466
1.1482;2.8549
1.1639;2.8625
1.2081;2.9046
1.2655;2.9613
1.322;3.0157
1.378;3.0685
1.4237;3.1092
1.4578;3.1366
1.4867;3.1584
1.5147;3.1795
1.5412;3.1993
1.5599;3.2116
1.5465;3.1913
1.5192;3.1572
1.496;3.1276
1.4851;3.1111
1.4925;3.114
1.5181;3.136
1.5558;3.1704
1.599;3.2101
1.646;3.2532
1.6947;3.2975
1.7446;3.3427
1.7947;3.3876
1.8443;3.4318
2.3781;3.897
