significant wave height [m];wind speed [m/s]
12.761;31.962
12.836;31.906
12.913;31.839
12.994;31.762
13.076;31.673
13.148;31.573
13.183;31.461
13.216;31.339
13.271;31.207
13.334;31.066
13.381;30.914
13.417;30.751
13.441;30.579
13.476;30.401
13.501;30.217
13.517;30.028
13.513;29.83
13.514;29.624
13.475;29.412
13.436;29.194
13.388;28.971
13.351;28.738
13.316;28.497
13.216;28.245
13.116;27.984
13.019;27.714
12.955;27.438
12.871;27.153
12.787;26.86
12.716;26.561
12.629;26.255
12.534;25.947
12.42;25.633
12.311;25.315
12.189;24.994
12.062;24.67
11.967;24.346
11.839;24.023
11.705;23.701
11.57;23.378
11.462;23.057
11.348;22.738
11.224;22.422
11.116;22.107
10.998;21.793
10.897;21.48
10.742;21.167
10.613;20.854
10.484;20.541
10.338;20.229
10.202;19.916
10.022;19.602
9.8652;19.286
9.6747;18.968
9.504;18.647
9.3212;18.324
9.1653;17.998
9.0096;17.668
8.8442;17.334
8.6964;16.997
8.5084;16.656
8.3392;16.311
8.1575;15.963
7.9791;15.612
7.8111;15.258
7.6474;14.903
7.4932;14.545
7.3572;14.185
7.2537;13.825
7.1338;13.463
6.9984;13.101
6.8681;12.738
6.7346;12.375
6.6439;12.013
6.5296;11.65
6.4379;11.287
6.3608;10.925
6.2616;10.562
6.1505;10.198
5.9375;9.8338
5.7909;9.4685
5.6799;9.1025
5.6331;8.7362
5.6405;8.37
5.665;8.0044
5.642;7.6404
5.5678;7.2791
5.4794;6.9221
5.3879;6.5706
5.397;6.2262
5.3851;5.89
5.2615;5.5632
5.0829;5.2464
4.9591;4.9408
4.8461;4.6469
4.7533;4.3653
4.6826;4.0962
4.5782;3.8396
4.4168;3.5954
4.2744;3.3635
4.1491;3.1438
4.1033;2.936
4.0474;2.7397
3.8574;2.5543
3.6647;2.3792
3.4965;2.2139
3.3367;2.058
3.23;1.9111
3.183;1.773
3.114;1.6433
3.044;1.5217
2.9944;1.4077
2.9637;1.3012
2.9525;1.2021
2.9317;1.1102
2.8947;1.0253
2.8637;0.94705
2.8438;0.87517
2.8317;0.80904
2.8338;0.74813
2.8261;0.69214
2.8039;0.64088
2.767;0.59387
2.7153;0.55046
2.6511;0.51025
2.5733;0.47302
2.4789;0.43845
2.3792;0.40602
2.2774;0.37528
2.1736;0.34612
2.0734;0.31844
1.9804;0.29212
1.8953;0.2673
1.8188;0.24416
1.7493;0.22281
1.6901;0.20324
1.6377;0.1854
1.5847;0.16946
1.529;0.15575
1.4743;0.14418
1.4215;0.13456
1.37;0.1266
1.3206;0.12005
1.2763;0.11466
1.2364;0.11023
1.2006;0.10659
1.1685;0.10358
1.1388;0.10111
1.1113;0.099061
1.083;0.097365
1.0546;0.095957
1.026;0.094786
0.99719;0.093808
0.96863;0.09299
0.94135;0.092304
0.91562;0.091728
0.89133;0.091242
0.86793;0.090832
0.84566;0.090484
0.82508;0.090189
0.80541;0.089939
0.78687;0.089725
0.76974;0.089544
0.7528;0.089389
0.7352;0.089256
0.71701;0.089144
0.69831;0.089048
0.67921;0.088967
0.65981;0.088899
0.64001;0.088842
0.61992;0.088795
0.59963;0.088758
0.57927;0.088729
0.55896;0.088707
0.53882;0.088693
0.51652;0.088686
0.49198;0.088686
0.46581;0.088693
