significant wave height [m];wind speed [m/s]
9.3015;30.823
9.4524;30.791
9.6016;30.753
9.7745;30.708
9.9675;30.656
10.167;30.596
10.337;30.529
10.491;30.453
10.663;30.37
10.819;30.28
10.972;30.18
11.105;30.071
11.233;29.953
11.335;29.829
11.407;29.698
11.462;29.561
11.529;29.417
11.58;29.269
11.606;29.116
11.632;28.959
11.652;28.797
11.678;28.629
11.682;28.456
11.69;28.276
11.694;28.088
11.694;27.893
11.691;27.691
11.678;27.48
11.666;27.26
11.637;27.03
11.613;26.79
11.583;26.542
11.56;26.285
11.524;26.022
11.48;25.751
11.439;25.473
11.394;25.191
11.349;24.903
11.286;24.612
11.236;24.32
11.172;24.026
11.109;23.73
11.046;23.433
10.987;23.136
10.927;22.835
10.888;22.532
10.855;22.225
10.835;21.913
10.802;21.597
10.785;21.275
10.733;20.948
10.676;20.616
10.638;20.28
10.568;19.941
10.483;19.599
10.382;19.255
10.263;18.908
10.096;18.557
9.956;18.205
9.7776;17.85
9.6237;17.493
9.4595;17.133
9.286;16.768
9.1044;16.397
8.9294;16.02
8.7415;15.64
8.5381;15.258
8.325;14.873
8.1166;14.486
7.8992;14.097
7.6911;13.706
7.4854;13.316
7.2563;12.926
7.0601;12.536
6.8714;12.148
6.6707;11.761
6.4721;11.376
6.3242;10.993
6.1827;10.611
6.0425;10.228
5.9263;9.8415
5.7933;9.452
5.6697;9.0602
5.517;8.6663
5.3848;8.2712
5.2668;7.8762
5.1655;7.4828
5.0638;7.0924
4.9304;6.7072
4.8177;6.3308
4.7104;5.9667
4.641;5.6165
4.5806;5.2809
4.5394;4.9616
4.4942;4.6589
4.4774;4.3714
4.4717;4.098
4.4668;3.8376
4.4289;3.5909
4.3711;3.3572
4.2999;3.1356
4.2225;2.9257
4.1525;2.7271
4.094;2.5391
4.011;2.3611
3.9064;2.1934
3.7914;2.036
3.6766;1.889
3.6292;1.7509
3.6144;1.6206
3.5862;1.4981
3.5431;1.3829
3.4884;1.2748
3.4368;1.1735
3.4018;1.0787
3.3668;0.98994
3.3367;0.9069
3.3087;0.82937
3.2647;0.75781
3.2153;0.69256
3.1752;0.63324
3.1517;0.57929
3.1326;0.53002
3.1112;0.48487
3.1043;0.44347
3.1043;0.40503
3.1072;0.36911
3.1132;0.33559
3.122;0.3044
3.1302;0.27513
3.1389;0.24775
3.1484;0.2224
3.1594;0.19918
3.1729;0.1781
3.1723;0.15918
3.1624;0.14278
3.1462;0.12893
3.1229;0.1174
3.0925;0.10789
3.0557;0.10008
3.0129;0.093674
2.9629;0.088434
2.9072;0.084143
2.8464;0.080628
2.7808;0.077744
2.7101;0.075375
2.6355;0.073424
2.5571;0.071815
2.4723;0.070485
2.3824;0.069383
2.2875;0.068467
2.1891;0.067705
2.0879;0.067069
1.9843;0.066537
1.879;0.066091
1.7752;0.065716
1.6746;0.065399
1.5777;0.065132
1.4868;0.064906
1.4012;0.064714
1.321;0.064551
1.2465;0.064412
1.1759;0.064293
1.1086;0.064192
1.0443;0.064106
0.983;0.064033
0.92326;0.06397
0.86636;0.063917
0.81324;0.063873
0.76294;0.063836
0.71566;0.063806
0.67174;0.063781
0.63063;0.063762
0.59258;0.063748
0.55675;0.063739
0.5215;0.063735
0.48706;0.063735
0.45395;0.063739
