significant wave height [m];wind speed [m/s]
15.547;29.511
15.717;29.495
15.89;29.476
16.055;29.452
16.228;29.426
16.403;29.396
16.568;29.362
16.715;29.324
16.844;29.283
16.967;29.238
17.076;29.189
17.168;29.136
17.236;29.079
17.264;29.018
17.293;28.952
17.334;28.881
17.382;28.806
17.437;28.726
17.496;28.64
17.55;28.55
17.59;28.453
17.613;28.35
17.633;28.24
17.677;28.123
17.717;27.999
17.74;27.865
17.743;27.723
17.726;27.57
17.692;27.407
17.657;27.233
17.598;27.045
17.56;26.845
17.516;26.632
17.426;26.409
17.344;26.175
17.227;25.932
17.097;25.68
16.959;25.419
16.822;25.151
16.684;24.879
16.563;24.602
16.405;24.322
16.283;24.039
16.204;23.751
16.083;23.458
16.002;23.159
15.927;22.854
15.825;22.543
15.705;22.225
15.573;21.899
15.48;21.566
15.496;21.225
15.45;20.877
15.438;20.523
15.42;20.166
15.375;19.804
15.31;19.438
15.262;19.069
15.167;18.697
15.026;18.323
14.836;17.945
14.621;17.564
14.406;17.18
14.14;16.791
14.014;16.396
13.894;15.996
13.796;15.59
13.614;15.179
13.464;14.763
13.384;14.342
13.299;13.917
13.097;13.488
12.919;13.055
12.765;12.621
12.5;12.184
12.273;11.747
12.034;11.309
11.79;10.869
11.608;10.429
11.396;9.9877
11.202;9.5468
10.996;9.1065
10.79;8.6678
10.681;8.2317
10.56;7.7998
10.365;7.3735
10.163;6.9544
10.069;6.5446
9.9417;6.1461
9.8346;5.7606
9.7662;5.3896
9.7511;5.0346
9.7475;4.6964
9.6348;4.3758
9.4404;4.0726
9.3057;3.787
9.1721;3.5185
8.9788;3.2668
8.8038;3.0312
8.624;2.8109
8.4254;2.6049
8.3673;2.4122
8.3419;2.2323
8.3194;2.0642
8.363;1.9075
8.3734;1.7615
8.2039;1.6256
8.1107;1.4994
8.0168;1.3822
7.9188;1.2737
7.8122;1.1734
7.5774;1.0808
7.2975;0.99545
7.0022;0.91682
6.6815;0.84439
6.3448;0.77763
6.2082;0.71617
6.0546;0.65983
5.89;0.60822
5.7253;0.56087
5.5654;0.51729
5.4155;0.47716
5.2839;0.44018
5.1773;0.40562
5.1139;0.37304
5.0806;0.34237
5.0508;0.31357
5.0204;0.28638
4.9899;0.26088
4.9585;0.23722
4.9255;0.21548
4.893;0.19569
4.8605;0.17777
4.8249;0.16201
4.7888;0.14855
4.7525;0.13726
4.7164;0.1279
4.6807;0.12018
4.6452;0.11385
4.6084;0.10866
4.5711;0.10441
4.5298;0.10093
4.4834;0.098072
4.4321;0.095732
4.3744;0.093809
4.3082;0.092227
4.2353;0.090924
4.1585;0.089847
4.0763;0.088956
3.9888;0.088218
3.8955;0.087604
3.7942;0.087093
3.6888;0.086666
3.5797;0.086309
3.465;0.086009
3.3476;0.085757
3.2283;0.085544
