"Hs.Pf....1.14e.04";"Tz.Pf....1.14e.04";"Hs.Pf....5.70e.06";"Tz.Pf....5.70e.06";"Hs.Pf....2.28e.06";"Tz.Pf....2.28e.06"
"0";6.87866169531965;8.35875647655835;9.09758037725279;9.38732969427943;9.73483438152464;9.68332291279679
"3";6.87739026498681;8.3859159633171;9.09786419924214;9.38126686931577;9.73295051293461;9.72356491639287
"6";6.87452194853787;8.41589047191068;9.09635834493647;9.39700336270112;9.73095389643723;9.74442997763148
"9";6.87077111709173;8.44139547591887;9.09430349624041;9.41097597783511;9.73403789243042;9.72345933917518
"12";6.86625049170378;8.46383848942553;9.08981204086862;9.43327417441701;9.73336557695171;9.72679710421311
"15";6.85995646603361;8.48810403142029;9.08499984350153;9.45182678024;9.72878071192216;9.7444732689994
"18";6.85171498265793;8.51372685537822;9.07878628503647;9.47114477282033;9.72454818599584;9.75763221888304
"21";6.83954624427954;8.54500051219268;9.07336158111586;9.48508626153165;9.71973441419496;9.77000361208771
"24";6.82709506696555;8.57190117339568;9.07523041887527;9.48104865367002;9.70600573332009;9.79966430871628
"27";6.8128489558378;8.59807464562234;9.07994803577343;9.47238127674499;9.68953030783741;9.82993355815749
"30";6.79694166188603;8.62311713098243;9.07894179750498;9.47396537440378;9.67783914131668;9.84833869150865
"33";6.77329858059081;8.65515548979647;9.07005168269017;9.48601222586015;9.6955261488434;9.82437131236664
"36";6.7355676323105;8.69924890225274;9.05641891045585;9.50194385430968;9.70864321430683;9.80904235287698
"39";6.66861819085759;8.76668440437215;9.03885934633911;9.51963090288712;9.70681750143839;9.81088132063141
"42";6.5352459472918;8.88211944436715;8.97406811091098;9.57570837937707;9.65741216652479;9.85364214296777
"45";6.27937809430469;9.07129629993245;8.78524157763391;9.71531798408366;9.4977051214958;9.971722144959
"48";5.8397195694772;9.34641787382589;8.3008153061799;10.018453510206;9.05481701040429;10.2488646710365
"51";5.19585930251959;9.68277527119038;7.36608859398854;10.5067617042267;8.08312012756985;10.7564863574651
"54";4.38894232886754;10.0277067184181;5.92955604164126;11.1208338683407;6.51570096374229;11.4265084021675
"57";3.5559368434381;10.3105070063591;4.26315372794555;11.6865673027319;4.61796990604926;12.0707765359763
"60";2.81929615726373;10.5000524927359;2.75796031946699;12.0738695819245;2.91113337112026;12.5099637370785
"63";2.26663797975739;10.5995059037103;1.7485089424262;12.2555250549557;1.76001112054612;12.7171135431027
"66";1.85557189152929;10.6433348007468;1.22933962636514;12.3108801892025;1.17947483878373;12.7790117771045
"69";1.56802880372593;10.6538688019949;1.03281710096492;12.3180796963916;0.95712917072933;12.7871573025722
"72";1.36983658629666;10.6478054974048;0.964492403984915;12.3159894354611;0.8727262684661;12.7845751602896
"75";1.26575947254692;10.6378589095649;0.93755823167113;12.3134153526377;0.856781963148966;12.7830513725166
"78";1.21702367271214;10.6301222887974;0.928286361689262;12.3119434789412;0.864946877314265;12.784347521235
"81";1.19015576960387;10.624197086503;0.917443427888782;12.3095522772172;0.901204076246345;12.7923433531925
"84";1.16412107365744;10.6168735694687;0.904011891878584;12.3057740082884;0.908910214998829;12.7945110773148
"87";1.13605319990633;10.6072911962096;0.880079924275698;12.2976036335593;0.897922809458108;12.790759976609
"90";1.11492087866935;10.5988134903111;0.861128994901335;12.2900010420627;0.87565607705998;12.7818271761619
"93";1.10061655254107;10.5922199836242;0.83889088047734;12.2797504958402;0.873336573752423;12.7807580128591
"96";1.08579907385903;10.5844993863485;0.826719921235577;12.27340885859;0.860108466619634;12.7738655522669
"99";1.06465592022808;10.5721980014937;0.814052205833652;12.266038603182;0.842825667456591;12.763810176064
"102";1.03550499435319;10.5534364999;0.817760244304815;12.2684250923791;0.817219376354197;12.7473299972392
"105";1.01087960681863;10.5360318775404;0.821111785884658;12.2707938800962;0.815489595364876;12.7461074302911
"108";0.991938822616028;10.5214142908495;0.827426300664903;12.2756671190405;0.811509801922655;12.7430360170365
"111";0.976708877464193;10.5086366792194;0.820502373251571;12.2698580859441;0.816445944660535;12.7471773395578
"114";0.961065809026964;10.4944176386534;0.811662337788612;12.2618227811472;0.801860223581498;12.7339193933602
"117";0.946570326894367;10.4801787319069;0.799512740658521;12.2498882363725;0.797663283164093;12.7297967403378
"120";0.934282465391239;10.4671578304447;0.799167822791598;12.2495227422174;0.779606587328383;12.7106628611717
"123";0.924796438509043;10.4563263160828;0.796247240811777;12.2461879081449;0.778644064299819;12.7095638149496
"126";0.914760977742226;10.4439845729389;0.792820239792729;12.2419733367053;0.767903858531107;12.6963553670278
"129";0.90631134512925;10.432790901665;0.781803311825478;12.2273786346913;0.767957808467586;12.6964268373368
"132";0.89427984646798;10.4156086351375;0.767384260124082;12.2067866871392;0.755522510188775;12.6786679017802
"135";0.879680768608866;10.3931012554463;0.754818575272552;12.1874141868509;0.744823867263686;12.6621738176456
"138";0.863952075320263;10.3668680725881;0.740421277461851;12.163401578861;0.729730182876919;12.636999737685
"141";0.851324806920838;10.3440177033901;0.735819572141574;12.15507430948;0.720072384641636;12.6195229368176
"144";0.840215720893782;10.3221220039146;0.729414065121135;12.1424492333606;0.719165489233435;12.6177354712003
"147";0.825520175030511;10.290417408903;0.72581995134269;12.1346951885071;0.721728042941631;12.6232639985697
"150";0.8064506890943;10.2450964515032;0.716094521528837;12.1115815192786;0.721975142088097;12.6238512598062
"153";0.786146534716689;10.1915019861489;0.706457146078941;12.0861428836649;0.711841814879983;12.5971035192267
"156";0.767593681734517;10.1365329188887;0.694921233005152;12.0519638610493;0.69556813175722;12.5488872592796
"159";0.74847263047731;10.0720501390116;0.682155976404599;12.0089150129302;0.678155425713289;12.4901656086868
"162";0.725653263541997;9.98279557839513;0.668475279698328;11.95540500203;0.660462857129739;12.4209637574883
"165";0.699318076766815;9.8601348546415;0.652322099443804;11.8801687488051;0.644969510684306;12.3488007952664
"168";0.667937560378969;9.67916572148133;0.634037723443597;11.77472409537;0.628660057966732;12.2547453793473
"171";0.625597346493673;9.35728814449968;0.60682715408363;11.5678646742625;0.604821479089375;12.0735204089559
"174";0.53815838698795;8.37337646517068;0.497253764865622;10.3348841126834;0.490212356929426;10.7838749867292
"177";0.466487309223038;6.78487952065979;0.397594360618955;8.12606203166386;0.384439539536941;8.43955699291596
"180";0.466487309223037;4.80814498124742;0.397594360618954;5.12023147974479;0.384439539536941;5.22225368536088
"183";0.528079883279911;3.49244355716297;0.489495118343292;3.15710589741888;0.482788219474047;3.12139168646806
"186";0.590167362710118;2.84361637269348;0.580326814531563;2.20789561799897;0.580059157367641;2.10488998043323
"189";0.60445469739339;2.74646497210524;0.586858348967501;2.16348231541255;0.586379898890405;2.06191003313684
"192";0.615098816262836;2.69362137568815;0.591591844706906;2.13998248968126;0.590743336456562;2.04024739139399
"195";0.625142413985619;2.65489999845008;0.595997303959435;2.12299799325552;0.594542418337229;2.0256006794567
"198";0.63510777099553;2.6239176404566;0.600566836622363;2.10879128729558;0.597147215084223;2.01750234989004
"201";0.643961922222022;2.60116247239969;0.605574929988151;2.09592048768215;0.601053285100242;2.00746375021144
"204";0.652129999200456;2.58351541253251;0.6100892478719;2.08616734282759;0.604340617705965;2.00036149646803
"207";0.660445764213669;2.5682373873462;0.613607773894218;2.07970297916381;0.608826168195776;1.99212048036802
"210";0.669806977141653;2.55350024610694;0.614836970183813;2.07776788384339;0.611302965514815;1.98822131557041
"213";0.679595678162353;2.54023573495001;0.616475762929156;2.07554718217841;0.614530355221362;1.98384793173944
"216";0.686774315968441;2.53184658354818;0.619365146159395;2.07217057034327;0.617926144879466;1.97987951957823
"219";0.69295221342435;2.52562383384422;0.626067726417958;2.06541932857898;0.621687204424303;1.97609115430732
"222";0.699103507256779;2.5202998261603;0.633050799290781;2.05937540763403;0.624221754649211;1.97389747518219
"225";0.708648918308272;2.51324239074308;0.638603125237746;2.0552702746466;0.626315208773905;1.9723496720332
"228";0.719474528353195;2.50646813593911;0.642856985514053;2.05260837076381;0.631278952078941;1.96924355036521
"231";0.730736729047727;2.5005846784428;0.647327523762724;2.050272928297;0.637727665542369;1.96587469443757
"234";0.739945682653012;2.49664814246915;0.65284392525439;2.04791484139074;0.64691502351578;1.96194738991252
"237";0.748209098742694;2.49384276304439;0.657668428255409;2.04627695201099;0.652161145728346;1.96016636337879
"240";0.757456712976371;2.49146325350786;0.660475351795218;2.04555470071865;0.65799898803491;1.95866422443893
"243";0.769386260357443;2.48931647593952;0.662979551521182;2.04510405832406;0.659615198802605;1.95837337978985
"246";0.784314757184228;2.48772476217605;0.66535362841542;2.04485092829281;0.664545894784199;1.95784765662102
"249";0.797172448417447;2.4872537269078;0.671032307643212;2.0446428926397;0.667288887099263;1.95774716843093
"252";0.811204485142168;2.48768300972114;0.678765442820773;2.04487947283757;0.673017098540014;1.95792241189493
"255";0.826937145868456;2.48918657074653;0.692289693411789;2.04617197742024;0.679808489018054;1.95857146104235
"258";0.848185014762619;2.49255958820614;0.707021885695559;2.0485106562797;0.691586026387401;1.96044109979887
"261";0.871804862673244;2.49776849403222;0.725473460199959;2.05257979822761;0.706758741745643;1.96378715205653
"264";0.896245291825004;2.50464354644631;0.742575883921937;2.05739068181589;0.72716924758225;1.96952859368808
"267";0.924510561431895;2.51429331065872;0.767418000799084;2.06587178154483;0.754557395515878;1.97887890852497
"270";0.956922466342381;2.52729607520883;0.796648008172292;2.07759805634175;0.789998636853257;1.99309695950798
"273";1.00090707837396;2.54757055937196;0.835779073828246;2.09563532288301;0.826789358829767;2.01005545648249
"276";1.059232798145;2.57796097887781;0.886362756011392;2.12199177982399;0.879521681550942;2.03753145532666
"279";1.14493352096722;2.62782286760901;0.980468721225458;2.17674395707435;0.980275760671397;2.09615159897167
"282";1.28756650398285;2.71962128765409;1.25807174522787;2.35540893669104;1.35991585178714;2.34048751492438
"285";1.5911047737773;2.93415472190096;2.08238513863297;2.93801350679235;2.44570957837575;3.10789999706876
"288";2.19420924285669;3.39960175757533;3.61358875410682;4.11972284634354;4.31899328369034;4.55361030484795
"291";3.14715880954732;4.19910689990286;5.58176069782379;5.77097874171177;6.53932310137678;6.41642148494869
"294";4.26749490079216;5.21745597846117;7.27288388254622;7.30815472876502;8.218971250375;7.94316703764615
"297";5.26029678392925;6.19268490168204;8.27200105682331;8.28958716014083;9.09191513488227;8.80065949306961
"300";5.91862460078874;6.89028567062125;8.68089634958398;8.72287535386507;9.36312104286431;9.08804435681676
"303";6.27443136025355;7.2965596642584;8.81430479828816;8.87520630823343;9.46964688420224;9.209679704754
"306";6.45119756074193;7.51394908898357;8.88658893998946;8.96410230722974;9.58035371109775;9.34582843310518
"309";6.56365537438863;7.66292785004983;8.92506847030633;9.01507815823668;9.66113631994782;9.45284538988146
"312";6.64194709908305;7.77473680406851;8.95193550050481;9.05344715005293;9.71230359655608;9.52591773181649
"315";6.69689185595722;7.85944506557283;8.98446866938349;9.10360349496587;9.70128545207475;9.50893107254065
"318";6.73133851477175;7.91689710452835;9.01213506536355;9.14974703730953;9.69095287297064;9.49169782677371
"321";6.75532158941486;7.96029699853258;9.04595141950276;9.21094128396432;9.67863059894149;9.46939937694131
"324";6.78088141184659;8.01067469740437;9.06854764676659;9.25547781921516;9.68434752448405;9.48066727812586
"327";6.80376214770797;8.06003825768327;9.08615523218765;9.2934649324603;9.69592359131145;9.50564181898367
"330";6.82553888859978;8.11179333642869;9.08296895723505;9.28589236171176;9.71771121450207;9.55742276083844
"333";6.83939132019009;8.14835795523193;9.07333588410763;9.26046508242786;9.73748352063715;9.6096133695397
"336";6.85179267092601;8.18510112801383;9.06796583467875;9.24455450476461;9.74936245976408;9.6448087222154
"339";6.86005079113735;8.21295035767297;9.07285126830088;9.26102987197234;9.74350682073196;9.62506148773194
"342";6.86545814774248;8.23410042898105;9.08342516652212;9.30238810256719;9.73413413757519;9.58840163124565
"345";6.86966230154959;8.25368200830129;9.09016302566399;9.33377085621723;9.72739086316346;9.55699365503222
"348";6.87323905587341;8.27430888777994;9.09490460182493;9.36111517767618;9.72957888323473;9.56961180607667
"351";6.87616559423999;8.29655693501302;9.09644957752813;9.37286034828844;9.73270834048753;9.59340247752976
"354";6.87787714339482;8.31581623558912;9.09770423370141;9.38697843557368;9.73408290143441;9.60886979984494
"357";6.87866169531965;8.33320481650987;9.09758037725279;9.38423331723134;9.73483438152464;9.62552538623255
"360";6.87866169531965;8.35875647655835;9.09758037725279;9.38732969427943;9.73483438152464;9.68332291279679
