"Hs.Pf....1.14e.04";"Tz.Pf....1.14e.04";"Hs.Pf....5.70e.06";"Tz.Pf....5.70e.06";"Hs.Pf....2.28e.06";"Tz.Pf....2.28e.06"
"0";6.92761203190957;8.35805656910834;9.11292428174339;9.37755857374656;9.78549105426918;9.6893110038453
"6";6.8702352708516;8.53027300546676;9.03212138597113;9.52593775361835;9.69741667490917;9.83014450980116
"12";6.70050894535451;8.66055233582151;8.79317734051853;9.61215444180934;9.43698872095149;9.90207916544932
"18";6.425526712932;8.75909042122865;8.40631649930946;9.64970014079926;9.01540724716926;9.91929940206954
"24";6.05672247369122;8.83859759437449;7.88802159021167;9.65660735222408;8.45072874847745;9.90119533761359
"30";5.60930497018638;8.91377348222157;7.2602223239403;9.65526619271264;7.76697851876706;9.87231835407548
"36";5.10150106186754;9.00034331690978;6.54920876109856;9.67162245026533;6.99296180101725;9.8616918513085
"42";4.55364035080015;9.11352534540003;5.78431532562161;9.73348299639236;6.16082374550985;9.90117020541288
"48";3.98712027169594;9.26583332306715;4.99642971440004;9.86756613818411;5.3044171302179;10.0224036861144
"54";3.42329540343008;9.4642355856527;4.21638607790045;10.0948856429347;4.45754199347285;10.2518319730451
"60";2.88233780118335;9.70697807376575;3.47330361809737;10.4242554582579;3.65212249639937;10.6032103024489
"66";2.38211744794342;9.98089720939205;2.79293102316878;10.8445909457462;2.9163841780469;11.0680485744953
"72";1.93715554218729;10.2606792883291;2.19605711937126;11.3187047571018;2.27309259573623;11.6068123242745
"78";1.55771223891118;10.5117425634184;1.69705714146036;11.7838464270004;1.73792175401351;12.1474863395076
"84";1.24909072262661;10.6973808358659;1.30268021054955;12.1642799466977;1.31806033229992;12.5993410667016
"90";1.01127662729029;10.7882143752533;1.01127662729029;12.3946500289222;1.01127662729029;12.8820192918029
"96";0.839079960855857;10.7693868365645;0.812833347348658;12.4416367162417;0.805886496640733;12.9542181928605
"102";0.722965777561499;10.6413823783734;0.690354859155023;12.3082162943426;0.682317510643669;12.8200709424852
"108";0.65065955140211;10.4148342112187;0.622980123445399;12.019429185501;0.616812342649247;12.5107930206092
"114";0.609311695865071;10.1040884987262;0.590349567517729;11.6052951395856;0.586657891327756;12.062736983331
"120";0.587606739699665;9.72359027978427;0.576470879071341;11.0928887816094;0.574641481483618;11.5076967188504
"126";0.57707642909294;9.28717430137476;0.571230983551896;10.5058661864565;0.570445187912516;10.8726904778225
"132";0.572286629406662;8.80836859010433;0.569432702842336;9.86586062245692;0.569125875247546;10.1819634156343
"138";0.570201764865982;8.30050626601579;0.5688526997138;9.19320444373024;0.568738176577632;9.4580529260129
"144";0.569312281792536;7.77645683938871;0.568670037239064;8.50676741975725;0.568627048206633;8.72169584419261
"150";0.568931217565142;7.24817745535749;0.568611659538535;7.82340699136774;0.568594616519595;7.9912433690183
"156";0.568763900080999;6.72628727549347;0.56859206855666;7.15745439684053;0.568584603161928;7.28211807563752
"162";0.56868776672993;6.21977122932601;0.56858500003485;6.52041808710075;0.568581241249547;6.6065227927771
"168";0.568652224770392;5.73583945743326;0.568582255768351;5.92092885430877;0.568580008653018;5.97342211192815
"174";0.568636346688476;5.27992706255908;0.568581177103821;5.36488751662932;0.568579543060565;5.38874724277501
"180";0.568631795644759;4.85580321096582;0.56858088755626;4.85575759935857;0.568579420602792;4.85575628500468
"186";0.568636346688476;4.4657557089602;0.568581177103821;4.39494477937807;0.568579543060565;4.37548266835383
"192";0.568652224770392;4.11081982906591;0.568582255768351;3.98221197198687;0.568580008653018;3.94721380380393
"198";0.56868776672993;3.79102557891895;0.56858500003485;3.61608984769484;0.568581241249547;3.56895536137227
"204";0.568763900080999;3.50564483376178;0.56859206855666;3.29425489079105;0.568584603161928;3.23785112371081
"210";0.568931217565142;3.25342888985504;0.568611659538535;3.01385951711676;0.568594616519595;2.95054226657765
"216";0.569312281792536;3.03283941884405;0.568670037239064;2.77181171176076;0.568627048206633;2.70346317241811
"222";0.570201764865982;2.84229413115313;0.5688526997138;2.56501929986197;0.568738176577632;2.49308717266695
"228";0.572286629406662;2.68047352652029;0.569432702842336;2.39064722021089;0.569125875247546;2.31616657673145
"234";0.57707642909294;2.54675514141412;0.571230983551896;2.24649985667677;0.570445187912516;2.17007893950633
