"Hs.Pf....1.14e.04";"Tz.Pf....1.14e.04";"Hs.Pf....5.70e.06";"Tz.Pf....5.70e.06";"Hs.Pf....2.28e.06";"Tz.Pf....2.28e.06"
"0";6.77298484253568;8.20166807776922;8.89391970970488;9.04692377194548;9.4993123543143;9.28143020227579
"3";6.77072444493237;8.2298800351563;8.89336783375113;9.05381171983012;9.49781957793194;9.30006150131191
"6";6.76574154008258;8.25943896582825;8.89030369095228;9.07198842343784;9.4957925303598;9.31208608545702
"9";6.75809315758851;8.28805232013161;8.88495281456966;9.09200658046491;9.49129474870632;9.32891273084641
"12";6.74672317891593;8.31806428713195;8.87868118157258;9.10856105677193;9.48245100660978;9.35225649459517
"15";6.73161616543522;8.3478825685616;8.87561040247476;9.11462217238979;9.47172960232962;9.37341844368292
"18";6.71342003840734;8.37564728992703;8.87252551719384;9.11932927188067;9.46415398785603;9.38497776203176
"21";6.69295042153103;8.40025884820318;8.86022816508079;9.1341149417836;9.46288668022999;9.38650150405785
"24";6.66672275831932;8.42534712216661;8.84362171641724;9.14999996860691;9.45335692442203;9.39561726563311
"27";6.62917087019045;8.45398190849374;8.81161870417037;9.17440351961795;9.43617306466556;9.40872063211934
"30";6.57501352785977;8.48673141067635;8.77385568635948;9.19723920506701;9.40236878188137;9.42916242976264
"33";6.49727675039824;8.52351257385408;8.69982627783989;9.23226622629974;9.3608541491273;9.44880508194675
"36";6.38284378736042;8.5648501426351;8.59617800514756;9.26970795189795;9.26447394176663;9.4836213039962
"39";6.20170990159707;8.61273928986032;8.40937207459442;9.31909670471526;9.1010638376318;9.52682454287126
"42";5.92358721163171;8.66260855337939;8.06767920978983;9.38036452691146;8.744054597767;9.59083869383383
"45";5.52333112731139;8.70406998659269;7.43136847972662;9.44627821534976;8.08449885621324;9.6591602694454
"48";5.00753833767356;8.72233378342025;6.43116616838029;9.48169455339844;6.93577429485232;9.69983565774281
"51";4.43648334841691;8.70712975120802;5.17267942822693;9.4481880202345;5.44874518743839;9.66024430686593
"54";3.89145823224719;8.66156174523532;3.9119745260182;9.34278405478539;3.94381392777652;9.53442126753391
"57";3.43172003130377;8.5988490234292;2.92567944503108;9.20824389931046;2.82201953783319;9.38139770030408
"60";3.04444499649787;8.52691801160057;2.31155275342621;9.09417831194244;2.17074640912028;9.26043267308875
"63";2.71507604398961;8.45044990081114;1.98693659749541;9.01881363659365;1.86072314126771;9.1884559630409
"66";2.437707116626;8.37384624673456;1.82610148895605;8.97439425214773;1.71590360764557;9.14845975451614
"69";2.22267606367484;8.30542624135073;1.71100943802931;8.93777350069825;1.62115679980376;9.11831258733415
"72";2.04551459265186;8.24190733724798;1.61971518729444;8.90504115362483;1.54227489325666;9.09003052223007
"75";1.89882560572336;8.18359321945789;1.52083063873037;8.86573100953477;1.45835896367454;9.0566709394517
"78";1.77103838001007;8.12794768338587;1.43766835493921;8.8295176099817;1.38368490515608;9.02415377669353
"81";1.66407225142232;8.07740212743879;1.3724028438295;8.79867717865298;1.3291411046252;8.99837976058489
"84";1.57196217558254;8.03051710859518;1.32424290071479;8.77416324985796;1.28376522409095;8.97528294957374
"87";1.49081338603341;7.98628420666201;1.28787072982654;8.75433736364406;1.25626322463755;8.96029205135398
