"Hs.Pf....1.14e.04";"U.Pf....1.14e.04";"Hs.Pf....5.70e.06";"U.Pf....5.70e.06";"Hs.Pf....2.28e.06";"U.Pf....2.28e.06"
"0";9.28388723362331;24.4915871168975;11.938082382968;28.4806185332835;12.6875428636525;29.3945828822645
"3";9.27593929546314;24.6792671766107;11.933428098795;28.5905233053019;12.6790409685311;29.5953439037913
"6";9.25809451658045;24.869140287372;11.9231165146456;28.7002412554202;12.661832302588;29.7784486066369
"9";9.23252937342323;25.0301990951184;11.9125253228116;28.7669651035479;12.6489822577936;29.8594030875625
"12";9.2011029464888;25.1596075254625;11.8881989925081;28.8671366002053;12.6321716082664;29.9286263490207
"15";9.16221073776186;25.2684635317225;11.8574841862774;28.9531047477794;12.6151700511751;29.9762122708734
"18";9.11062857014676;25.3670645824796;11.8009504413923;29.0611709052642;12.5604938586048;30.0807276545434
"21";9.04439674060736;25.4512222143415;11.7295086188294;29.1519486271632;12.4718240161254;30.1933962009587
"24";8.95975645494492;25.5175585858928;11.6121813497055;29.243903247316;12.3467839153254;30.2913957117186
"27";8.85321930726485;25.5601087481447;11.470675103944;29.3004198131141;12.2129367515136;30.344853295868
"30";8.70618054649511;25.5728618177221;11.2925880325677;29.3158657866806;12.0449518162617;30.3594230838341
"33";8.5203767472146;25.5405526060228;11.0781429319894;29.2785761716173;11.817340353124;30.3198439849341
"36";8.2885991667956;25.4488644513897;10.7694981106272;29.1564803500258;11.4917499811577;30.1910447269649
"39";8.0165762945931;25.2890637756153;10.3217878108063;28.893471552702;11.0280257361457;29.9186284881174
"42";7.69605448619892;25.0467510769096;9.70408388571162;28.4264908319807;10.339651409871;29.3982213384291
"45";7.3174203240866;24.7037103811163;8.89904122694095;27.6971261273611;9.42878417877821;28.5729800897626
"48";6.89342647635956;24.2623089063593;7.96181857941963;26.7214245670453;8.33757941043438;27.4369744694195
"51";6.44447635908618;23.7397555104476;6.97476272349975;25.5725455053845;7.23065275301763;26.1485723472163
"54";6.01400961868034;23.1901233392732;6.05007648504833;24.3918798297601;6.19975909184831;24.8322980150712
"57";5.6230322880486;22.6500153497642;5.25845157941019;23.298305080711;5.32309515468889;23.6212477585022
"60";5.27237003547893;22.1313344126196;4.6136488138718;22.3445471548094;4.62638348807247;22.5907089494003
"63";4.95873734909557;21.6385787532261;4.13289338523468;21.5892210407591;4.08959432145534;21.7473469172032
"66";4.67476095831129;21.1676562428797;3.75502321758338;20.9625930050836;3.69189937809389;21.0878431445036
"69";4.42406810782633;20.7310666753622;3.46152114782194;20.4514498214836;3.382353684795;20.5487594805585
"72";4.19186235513117;20.3081118622791;3.20070716628491;19.9763861009251;3.12823426363959;20.0858896720887
