"Hs.Pf....1.14e.04";"U.Pf....1.14e.04";"Hs.Pf....5.70e.06";"U.Pf....5.70e.06";"Hs.Pf....2.28e.06";"U.Pf....2.28e.06"
"0";9.73862583813413;26.7796097412846;12.3093453715548;31.5031826957352;13.0176420525714;32.7619099308484
"6";9.69543714435957;27.2427815690216;12.2946002402468;31.661315040598;12.998939219613;32.9624861596743
"12";9.64589507158519;27.4455641290227;12.2467876379206;31.857018638713;12.967364309198;33.0917266376598
"18";9.54232075919039;27.6371815398465;12.1433156416684;32.0484467598;12.8762745909378;33.2602469547358
"24";9.40434200156518;27.734242180007;11.9522610973476;32.1828433632809;12.6496630729918;33.4196559781111
"30";9.15953239570504;27.7329710389123;11.6834885129585;32.1814477976293;12.3936486736818;33.418326657627
"36";8.76892299666109;27.5394016884545;11.3203943121223;32.0015138053011;12.0230750027684;33.2346861590853
"42";8.25503213831713;27.0964396919035;10.5455594555407;31.3336241367153;11.2530747324011;32.5709637916436
"48";7.43730014612777;26.1545811032359;9.08209525560354;29.6480152341849;9.63060847193788;30.7022173113338
"54";6.41814346018278;24.7364259018779;7.0168491355882;26.7742279475239;7.26682772211277;27.413019476041
"60";5.57135693879582;23.3839453666261;5.04759586941753;23.6289526695063;5.03684502464069;23.8513092738765
"66";4.93749695118312;22.2560869344567;3.92971598035667;21.6398536828698;3.84141138516456;21.7242150626452
"72";4.35986477088263;21.1324647357625;3.25318888719958;20.3238590312318;3.16193692141962;20.4024871240935
"78";3.95076956311647;20.2733086234272;2.84687874260876;19.4705519340034;2.76942014855263;19.5781480015596
"84";3.60565409299191;19.4973913341693;2.55430225600437;18.8127571550421;2.43391358388894;18.8238342523436
"90";3.30293602676342;18.7729290008694;2.2882964579326;18.176154313516;2.25117977285224;18.3865172307143
"96";2.97268439431665;17.9347173092455;2.11691741050529;17.741177141144;2.13636164883672;18.0950973420461
"102";2.7296510204778;17.2818699094634;2.03134929111878;17.5113201327696;1.94150615245774;17.5716675672176
"108";2.35138311200447;16.2071493944589;1.83428193497104;16.9514197929695;1.83489822238465;17.2687771370616
"114";2.20430468162281;15.7648795931174;1.7672169387713;16.7497530871904;1.75077052603493;17.0158023163801
"120";1.93275447450318;14.8988540228965;1.63204304625026;16.3186576791212;1.66281926292552;16.7353089093086
"126";1.7286831081667;14.2060553039349;1.52098302691319;15.9416217406364;1.51231266025985;16.2243563764084
"132";1.4947767691046;13.3559017890336;1.43063411032045;15.6132405205427;1.42142270074433;15.8940086874094
"138";1.27708832114277;12.5016038501429;1.31588607219155;15.162922585057;1.26524514654801;15.2811044938241
"144";1.07056623090386;11.6154535223592;1.20192862237101;14.6739510111443;1.22123967290646;15.0922846690459
"150";0.911490276306171;10.8548810263051;1.05182481093227;13.9562760437242;1.03705607850353;14.2116677556881
"156";0.767190505935522;10.0626998967103;0.909063474453245;13.1725406538209;0.913554558074012;13.533665471213
"162";0.646268109110995;9.26020677476957;0.728558141937079;11.974629500703;0.727922497061268;12.3017311390596
