"Hs.Pf....1.14e.04";"U.Pf....1.14e.04";"Hs.Pf....5.70e.06";"U.Pf....5.70e.06";"Hs.Pf....2.28e.06";"U.Pf....2.28e.06"
"0";9.73241597838294;26.6924032167727;12.2968704664111;31.3832647203501;13.0143079479501;32.4924789990975
"3";9.72393764834416;26.8951557015318;12.2915469358366;31.5105726980684;13.0043961651192;32.7295113613856
"6";9.7054138850983;27.0938115192775;12.2812335644628;31.6211771792846;12.9874336918909;32.9114233166096
"9";9.6793123060642;27.2585556388614;12.267494804127;31.7078914724213;12.9770242450106;32.9771241372156
"12";9.64891042022006;27.3829947649433;12.2430698088492;31.8078663582725;12.9600996891481;33.0463986865528
"15";9.61149302846064;27.4859760942464;12.2126806266247;31.8915044269556;12.939985445874;33.1017577432077
"18";9.56238325097663;27.5768315215241;12.1603734759081;31.9882751469936;12.882220349568;33.2086259225296
"21";9.50059486289786;27.6508834189957;12.0967325294613;32.0645472911264;12.8051368624768;33.3010086284121
"24";9.42778482019237;27.7021013707786;12.0029444132385;32.1305221901377;12.6918253469627;33.380717189517
"27";9.33899598762225;27.729864134313;11.885619338858;32.1672077529771;12.5897779397778;33.4126256846844
"30";9.22017156900157;27.7292471544318;11.7509161729162;32.1665083248267;12.4575940232274;33.4119393373992
"33";9.06210478346826;27.6865436269221;11.5819927288457;32.120871748385;12.3111694538582;33.3723810860875
"36";8.86676848150594;27.5897432908722;11.3815535133116;32.0215426261155;12.0998839019965;33.2676769823585
"39";8.63437950011511;27.4292498665113;11.0945370800224;31.8233221685416;11.8191085253498;33.0737667487298
"42";8.36712622554038;27.1988837446622;10.7041577475398;31.4868242415578;11.4112078234653;32.7221658078539
"45";8.04135680286015;26.8683973112053;10.1628370257348;30.9376654124885;10.8288341438072;32.1313595905426
"48";7.6433707788899;26.4099995006434;9.44778244714499;30.114070025927;10.035063404461;31.217099422875
"51";7.18102735199478;25.819710558644;8.5699005631244;28.9932495743441;9.03186019330465;29.9362771429937
"54";6.69107121509797;25.1379372321675;7.56780820109232;27.5988393574899;7.89284378780817;28.3513372979598
"57";6.22306364037518;24.4369341652139;6.5431468765509;26.0640549439733;6.72483122705409;26.6018348720346
"60";5.79814300467154;23.7582543866616;5.60126366982827;24.5596867574244;5.65632803765671;24.8952302804222
"63";5.42839925667926;23.133127615769;4.82484986265775;23.2470017998331;4.79509094019941;23.4391343528243
"66";5.09394271837101;22.5380125520373;4.23654499980803;22.2002018547059;4.15653989759162;22.3029288944419
"69";4.79320058590897;21.9774431570032;3.78592648675666;21.3602698332614;3.7089605935979;21.4686618178087
"72";4.51058522871672;21.4276938530985;3.44297530178312;20.6931540151913;3.35980098560232;20.7894692454227
"75";4.27033628134935;20.9414860017634;3.16244920885473;20.1254346125436;3.08921023670014;20.2418566624892
"78";4.05579109558629;20.4909116508026;2.94842990844137;19.6759646930305;2.86223444242956;19.7651763267196
"81";3.87449577092741;20.0966260333835;2.77118278183774;19.2904831982365;2.68307743994319;19.3755411859723
"84";3.69795696223701;19.6997168080785;2.62220428991073;18.9555373681581;2.53013040718753;19.0316729524997
"87";3.53507901218706;19.3216874506061;2.48862300954846;18.6455037167633;2.40808029380677;18.7484024058933
"90";3.36825288463939;18.92244056348;2.36420369180831;18.347744450656;2.30438176925584;18.5002319679941
"93";3.21210839494563;18.537474625666;2.25952804951453;18.0896722197311;2.22371595024771;18.3013546798817
"96";3.06150608031257;18.1552308802656;2.17347877102973;17.871270539935;2.14748784609893;18.1078801233611
"99";2.92895332431403;17.8090616528569;2.10650247935385;17.6963580609792;2.08084738645504;17.9338446892783
"102";2.78070391228172;17.4108272802036;2.03923425699817;17.5156590756538;2.00446457840389;17.7286616856579
"105";2.62080078834069;16.9690762928275;1.96547002688974;17.3118768062376;1.93595719940284;17.5394020791512
"108";2.45991410844014;16.5119711258099;1.89116065571119;17.1007518234576;1.87275666495127;17.3598391043049
"111";2.33552837417671;16.148462580175;1.83526024824736;16.9373868207271;1.81867905644318;17.2018011031097
"114";2.23199958112216;15.837148007273;1.78337615319102;16.7813695967616;1.77049695327325;17.0569158936206
"117";2.12708878452573;15.5123777050525;1.73134088899874;16.6202850465903;1.72425828167753;16.9137757418383
"120";2.00776513582787;15.1318317573969;1.67206826502431;16.4312533072283;1.67600853384835;16.7598980636733
"123";1.88850734351912;14.7396480182727;1.61314309992583;16.2374756837334;1.62117104916501;16.5795629310926
"126";1.77875923514737;14.3670658659925;1.5601237534679;16.0574811261154;1.55801564814484;16.3651576389257
"129";1.66850750072921;13.9801208040478;1.50275474964812;15.8561359694709;1.50059071348186;16.1636161845658
"132";1.55624672073142;13.5720989561433;1.45184629399418;15.6711046330568;1.44129132074878;15.9480872366728
"135";1.43885384635696;13.1293043505936;1.39553960293713;15.4587212223151;1.37929859887555;15.7142566658219
"138";1.33439329734322;12.7193587032551;1.34300576314173;15.252557085084;1.32014469196185;15.4821126948081
"141";1.227733348433;12.2825052437733;1.28731574304437;15.0244641768583;1.26854755396508;15.270783245811
"144";1.12971646848031;11.8619318794521;1.22653237161645;14.763653314193;1.21806793846501;15.0541840056521
"147";1.028939763992;11.4068019191273;1.16083944443214;14.466969477439;1.15517121798754;14.7701284588784
"150";0.948109289324987;11.0203359945304;1.08907204572132;14.1238358485329;1.08078232254604;14.4144609538319
"153";0.871446593377993;10.6294278284921;1.01772226979985;13.7600186137204;1.01164175921792;14.0619086404077
"156";0.803837429822568;10.2582650510413;0.942390470209914;13.3464598815043;0.939090906832938;13.6636168340676
"159";0.735121103288042;9.84700751499999;0.85843667648899;12.8440082504551;0.860508693282735;13.1933133537863
"162";0.673730941768525;9.43959595462764;0.766756672503281;12.2355802458002;0.766108974476763;12.5668361498581
"165";0.614555817323032;8.9934974836011;0.668271199960634;11.493136201427;0.668931109374932;11.834249654337
"168";0.556459961072518;8.47763407371274;0.575441143243836;10.6688497085735;0.574705893741416;10.9975748177605
"171";0.490172467449815;7.74197304454989;0.491040822434529;9.7321718606878;0.491670682095291;10.0760470013064
"174";0.403014045241476;6.39007967124099;0.373749437392991;7.91289333124342;0.369974054722772;8.18843981509908
