zero-up-crossing period (s);significant wave height (m)
9.27476416999139;9.54672871886508
9.40233076720186;9.46336766857872
9.47599470462953;9.21665198387879
9.5032378464669;8.81653452377937
9.49371512633441;8.27911066678942
9.4591133327228;7.62589899465388
9.41252449645956;6.88287253717166
9.36711591086559;6.07927596022744
9.33392066404056;5.24627000869076
9.31875030483893;4.4154472911636
9.31865819744677;3.6172625544636
9.31916045293837;2.87941601481244
9.29443102770262;2.22522227390745
9.21316583131798;1.67199799344564
9.05115136627588;1.22953110349962
8.80643284629542;0.898800025041225
8.50617319299752;0.671354697453863
8.19355808019078;0.530118239313671
7.89887078882585;0.452422711461225
7.62222446466096;0.415094619759655
7.34541344470573;0.399483428716291
7.05263288949679;0.393734443676073
6.73842147908813;0.391821759371261
6.4051411313156;0.391225983795429
6.05875148143909;0.391045052433617
5.70618654977569;0.390989258139273
5.35414372792806;0.390971145387001
5.00857911226328;0.39096479638334
4.67450676283949;0.390962387766336
4.35593974850587;0.390961456164
4.05591159999368;0.390961208152937
3.77654956385112;0.390961456164
3.51918098588112;0.390962387766336
3.28445821836751;0.39096479638334
3.07249076463902;0.390971145387001
2.88297779948552;0.390989258139273
2.71534248898311;0.391045052433617
2.56888985204262;0.391225983795429
2.44306265187454;0.391821759371261
2.33798440061484;0.393734443676073
2.25562025150526;0.399483428716291
2.20173122786175;0.415094619759655
2.18768608801362;0.452422711461225
2.22957674717177;0.53011823931367
2.34348058928398;0.671354697453861
2.54082357231469;0.898800025041225
2.8275692300142;1.22953110349962
3.20479484431754;1.67199799344563
3.66772498498029;2.22522227390745
4.20410555627317;2.87941601481244
4.79408615804524;3.61726255446359
5.41254724110684;4.4154472911636
6.03309591359046;5.24627000869076
6.63202169004991;6.0792759602272
7.19078751613475;6.88287253717166
7.69665535850054;7.62589899465388
8.14195068161734;8.27911066678942
8.52278614484495;8.81653452377937
8.83788973546021;9.21665198387879
9.08784302893241;9.46336766857872
9.27476416999139;9.54672871886508
